"thesis_code","section","sentence","expression_number","expression_without_unit","is_reflexive","reflexivity_type","reflexivity_reasoning","scope_classification","scope_reach","scope_reasoning","L1_classification","L1_reasoning","L2_classification","L2_reasoning","L3_classification","L3_borderline","L3_reasoning","L1_borderline_is","L1_borderline_dominant","L1_borderline_secondary","L1_borderline_why","L2_borderline_is","L2_borderline_primary","L2_borderline_secondary","L2_borderline_tertiary","L2_borderline_strength","L2_borderline_why","comprehensive_justification"
"AP1","Introduction","Hasan (2001: 8) maintains that context (of situation) is important in two ways, first in shaping language as a system and then highlighting language as a process.","1","Hasan (2001: 8) maintains that","False","","Attributes the following proposition to an external source (Hasan), not to the current text, act, reader, or author.","MICRO","Limits to attributing this specific claim about context’s dual role to Hasan.","Evidentials conventionally operate at clause level, marking source attribution for a single proposition.","MD","Removal preserves propositional content but changes discourse management (source attribution), indicating a metadiscursive function.","INT_ACTIVE","Organizes intertextual relations and guides the reader to the source of the claim rather than conveying stance.","Evidentials","False","Canonical reporting construction with citation marking an external source.","False","","","","False","","","","","","Prototypical evidential attribution: non-reflexive, micro-scope, interactive organization of intertextual sourcing."
"AP1","Introduction","Hasan (2001: 8) maintains that context (of situation) is important in two ways, first in shaping language as a system and then highlighting language as a process.","2","first","False","","Orders elements within a proposition; does not refer to the text, act, reader, or author.","MICRO","Signals the first item of a two-part sequence within the same clause.","Sequencing within a single multi-part claim is local to the clause/proposition.","MD","Removal preserves informational content but degrades organization, indicating a metadiscursive role.","INT_ACTIVE","Structurally guides the reader through stages of the claim.","Frame Markers","False","Ordinal marker initiating an enumeration within the discourse.","False","","","","False","","","","","","‘First’ organizes the internal sequence of a two-part claim (local frame marking), not content itself."
"AP1","Introduction","Hasan (2001: 8) maintains that context (of situation) is important in two ways, first in shaping language as a system and then highlighting language as a process.","3","then","False","","Marks sequence of content elements; not self-referential to text, act, reader, or author.","MICRO","Signals the second element in the same two-part sequence.","Completes a local two-part enumeration within a single proposition.","MD","Removal keeps propositional content but reduces organizational clarity, indicating metadiscourse.","INT_ACTIVE","Structurally guides the progression to the second step of the claim.","Frame Markers","False","Sequential marker completing an internal enumerative frame.","False","","","","False","","","","","","‘Then’ completes the two-step frame, guiding readers through the second item without affecting content."
"AP1","Introduction","It is possible to establish a sub-genre within the Radio Address.","1","It is possible to","False","","Expresses epistemic stance toward the proposition; does not reference the text, discourse act, reader, or author.","MICRO","Qualifies the certainty of the single proposition about establishing a sub-genre.","Function is localized stance-modulation of one claim rather than connecting segments or framing a section.","MD","Removal preserves propositional content while eliminating epistemic qualification; the expression modulates commitment rather than adding content.","INT_ACTIONAL","Conveys the writer’s epistemic stance (caution/possibility) rather than organizing text structure.","Hedge","False","Prototypical epistemic hedge using an impersonal construction with 'possible' to withhold full commitment.","False","","","","False","","","","","","Impersonal epistemic construction hedging a single claim. Not reflexive; MICRO reach; Interactional metadiscourse (Hedge) consistent with academic Introduction genre."
"AP1","Introduction","Next, the main theoretical concepts of the study will be mapped out, from genre, cline of instantiation to context of situation.","1","Next","True","act","'Next' indexes the sequencing of discourse acts within the chapter outline; it refers to what the text does next.","MACRO","Positions this step within a multi-step roadmap across the Introduction (e.g., First/Secondly/Next/Fourth/Finally).","Functions at chapter-level to guide readers through the overall structure.","MD","Discourse-act reflexive; removing it removes only organizational guidance, not factual content.","INT_ACTIVE","Primarily organizes the text and signals a discourse step.","Frame Marker","False","Prototypical sequencer marking the next stage in an outline.","False","","","","False","","","","","","Signals the next step in the Introduction roadmap; loss of sequencing on removal shows metadiscursive, organizational function (MACRO, Interactive Frame Marker)."
"AP1","Introduction","Next, the main theoretical concepts of the study will be mapped out, from genre, cline of instantiation to context of situation.","2","the main theoretical concepts of the study will be mapped out","True","act","Announces a forthcoming discourse action in the text (mapping out). Also contains a text-reflexive element ('of the study').","MACRO","Forecasts and frames the upcoming section(s) presenting the theoretical framework.","Roadmap statement guiding reader expectations for a major section.","MD","Reflexive forecast of discourse action; removing it removes guidance, not domain facts.","INT_ACTIVE","Organizes upcoming textual stages and labels discourse action.","Frame Marker","True","PRIMARY: Frame Marker (forecasting upcoming section). SECONDARY: Endophoric Marker via 'of the study' referencing the text.","False","","","","True","Frame Marker","Endophoric Marker","","PRIMARY strongly dominant; SECONDARY moderate","Clause forecasts a discourse stage while 'of the study' provides an internal text reference.","Forecasts what the text will do next (map out concepts), guiding readers at MACRO level; includes an internal reference to the document ('of the study')."
"AP1","Introduction","Scacci (2011) states, ‘genres exist in relation to certain situational constraints, the weekly address is unique in its routine response to the week’s events packaged for both public and press consumption’.","1","Scacci (2011) states","False","","Source-oriented reference to an external author; does not refer to this text, its production, the reader, or a discourse act within this text.","MICRO","Attributes only the immediately following quoted proposition to an external source.","Evidential attribution operates locally on a single claim rather than structuring larger discourse.","MD","Removal test shows truth-conditional content remains; the clause manages source attribution and intertextual framing.","INT_ACTIVE","Organizes information flow by linking a claim to its source; guides readers to the evidential basis rather than expressing stance.","Evidentials","False","Canonical citation + reporting verb attributing content to an external source.","False","","","","False","","","","","","Sentence-initial reporting clause attributes the following definition to Scacci, organizing source information (Interactive/Evidentials) with local (micro) reach; not reflexive."
"AP1","Introduction","Scacci (2011) states, ‘genres exist in relation to certain situational constraints, the weekly address is unique in its routine response to the week’s events packaged for both public and press consumption’.","2","‘genres exist in relation to certain situational constraints, the weekly address is unique in its routine response to the week’s events packaged for both public and press consumption’","False","","Asserts a theoretical/general claim about genres in the world; not about this text, its production, or participants.","MICRO","States a specific theoretical description/definition within the sentence.","It is the primary content being reported, not a discourse-organizing device.","PROP","Truth-conditional statement about genre; removal deletes content rather than just guidance or organization.","","","","False","","False","","","","False","","","","","","Quoted material provides the truth-conditional definition/characterization of the genre; purely propositional."
"AP1","Introduction","The present study aims to fill this gap within studies of this particular genre.","1","The present study aims to","True","text","'The present study' explicitly refers to the current document; the predicate announces its intended purpose.","MACRO","Frames the global objective of the entire thesis/study.","Intro genre convention: statements of aims set discourse-wide expectations and organize the whole text.","MD","Clear text-reflexivity; removal affects framing/organization rather than propositional content.","INT_ACTIVE","Guides textual organization by announcing the study’s aim rather than expressing stance or engaging the reader interpersonally.","Frame Marker","False","Signals a major structural move (research aim) typical of Introduction framing.","False","","","","False","","","","","","Announces the thesis’s global purpose; therefore a macro-scope Interactive Frame Marker (text-reflexive)."
"AP1","Introduction","The present study aims to fill this gap within studies of this particular genre.","2","this gap","True","text","Anaphoric reference to the previously described research gap; points back within the discourse.","MESO","Links the present sentence to the immediately preceding discussion establishing the gap (2–3 sentences).","Endophoric reference operates across adjacent discourse units rather than the whole text or a single proposition.","MD","Primarily guides cohesion by pointing to prior discourse; propositional content (the aim) remains.","INT_ACTIVE","Organizes textual flow via anaphoric linkage.","Endophoric Marker","False","Demonstrative NP referring to specific prior content (the identified gap).","False","","","","False","","","","","","'This gap' points back to the gap just established, creating cohesion (Interactive Endophoric Marker, meso-scope)."
"AP1","Introduction","The present study aims to fill this gap within studies of this particular genre.","3","this particular genre","True","text","Anaphoric reference to the genre discussed upstream (radio addresses), pointing back within the text.","MESO","Clarifies and links to the previously established genre focus over the local paragraph/segment.","Backward endophoric reference within the local discourse segment.","MD","Primarily serves cohesion/organization by pointing to earlier genre specification, not adding new propositional content.","INT_ACTIVE","Organizes the text by maintaining referential continuity.","Endophoric Marker","False","Demonstrative NP explicitly refers to prior genre mention.","False","","","","False","","","","","","Maintains referential continuity to the previously introduced genre (Interactive Endophoric Marker, meso-scope)."
"AP1","Introduction","This introductory chapter will first explain the functions of language, politics and discourse.","1","This introductory chapter","True","text","Explicit self-reference to the current text unit ('chapter'); anchors discourse as a chapter-level entity.","MACRO","Labels and frames the entire chapter as the unit performing subsequent actions/sections.","Functions as a header-like label for the chapter’s plan; interacts with the ensuing sequence ('first...Secondly...Next').","MD","Text-reflexivity ensures metadiscourse; removing it leaves propositional content intact but removes organizational framing.","INT_ACTIVE","Organizes the discourse by indicating the text part that will execute the plan; guides reader navigation.","Frame Marker","False","Announces a discourse frame at chapter level; prototypical framing/preview function.","False","","","","False","","","","","","Text-reflexive NP frames the chapter and orients the reader to the chapter-level plan; removing it loses only organization, not content."
"AP1","Introduction","This introductory chapter will first explain the functions of language, politics and discourse.","2","will first explain","True","act","Names and sequences the discourse act the text will perform ('explain'), initiating an ordered plan ('first').","MACRO","Initiates the first stage of a multi-part chapter sequence, structuring forthcoming sections.","The presence of 'first' plus subsequent 'Secondly' and 'Next' indicates chapter-level organization.","MD","Discourse-act reflexivity organizes reading path; removal affects organization not content.","INT_ACTIVE","Guides text structure and signals a discourse stage in an ordered sequence.","Frame Marker","False","Typical sequencer initiating a chapter outline stage.","False","","","","False","","","","","","Sequences the chapter’s plan and labels the discourse act, affecting organization but not ideational content."
"AP1","Introduction","This introductory chapter will first explain the functions of language, politics and discourse.","3","Secondly","False","","Signals order between discourse segments without explicit self-reference to text or act.","MACRO","Marks the second stage in the chapter-wide sequence.","Part of the enumerated outline ('first...Secondly...Next') structuring the chapter.","MD","Organizational function only; removal test shows content unaffected but structure lost.","INT_ACTIVE","Organizes progression between sections; guides reader through the outline.","Frame Marker","False","Canonical enumerative frame marker signalling a stage in the macro-structure.","False","","","","False","","","","","","Enumerative marker that organizes major chapter stages; removing it leaves ideational content intact but weakens the roadmap."
"AP1","Introduction","This study takes the standpoint that genre is ‘a staged, goal oriented, purposeful activity in which speakers engage as members of our culture’.","1","This study takes the standpoint that","True","text","'This study' refers to the text itself (text-reflexive) and 'takes the standpoint' names the discourse act being performed (also act-reflexive).","MACRO","Announces the theoretical framework underpinning the entire thesis; orients readers to the study’s global lens.","Introduction genre move establishing global commitments; text-reflex 'This study' signals document-wide reach; subsequent elaboration confirms sustained framing.","MD","Reflexivity (text + act) is present; removing it leaves propositional content intact but loses discourse-guiding function.","INT_ACTIVE","Dominant function is organizational: it frames the study’s theoretical foundation for readers.","Frame Marker","True","Primary: Frame Marker announcing a major structural element (theoretical framework) at macro scope. Secondary: Self-Mention via 'This study' (author/text presence). Tertiary (weak): Evidential flavor in 'takes the standpoint' (adopting a position).","False","","","","True","Frame Marker","Self-Mention","Evidential","PRIMARY strongly dominant; SECONDARY moderate; TERTIARY weak","Expression organizes the text globally (Frame Marker) while also foregrounding the text/author as agent ('This study'); 'takes the standpoint' weakly signals adopting a position.","Reflexive, macro-scope move in an Introduction that frames the thesis’s theoretical stance. Clearly MD and Interactive; Frame Marker is primary, with Self-Mention secondary and a weak Evidential nuance."
"AP1","Introduction","This thesis focuses on ‘text as an instrument’ and aims to reveal the generic structure of written-to-be-spoken language within the discourse of politics.","1","This thesis","True","text","'This thesis' explicitly refers to the current document; direct text-reflexive self-reference anchors the statement to the whole thesis.","MACRO","Frames the document as the agent of subsequent acts (focus, aim), orienting readers to the global topic and purpose of the entire thesis.","Referent = the whole text; in introductions such text-ref NPs function to set the global frame for the study.","MD","Reflexivity test positive; function is to frame the document’s organization rather than add world-content.","INT_ACTIVE","Organizes discourse by signalling what the text will do and how to read it (structural guidance).","Frame Marker","False","Announces the document as frame for ensuing focus/aim; conventional frame marker in introductions.","False","","","","False","","","","","","Explicit text-ref anchor that frames the thesis-level organization; losing it removes macro guidance but not local content; functions as an Interactive Frame Marker."
"AP1","Introduction","This thesis focuses on ‘text as an instrument’ and aims to reveal the generic structure of written-to-be-spoken language within the discourse of politics.","2","focuses on","True","act","Describes what the text-as-discourse does (declares its research focus); discourse-act reflexive in this context.","MACRO","Sets the central organizing focus for the entire thesis.","In introductions, declaring the study’s focus operates at document level.","MD","Guides how to interpret the document’s content rather than adding new world knowledge.","INT_ACTIVE","Organizational guidance signalling the central topic; not stance or engagement.","Frame Marker","False","Announces the study’s focus, a standard framing move.","False","","","","False","","","","","","Discourse-act reflexive predicate that globally frames the study’s focus; removal removes organizational guidance but not the topical referent itself."
"AP1","Introduction","This thesis focuses on ‘text as an instrument’ and aims to reveal the generic structure of written-to-be-spoken language within the discourse of politics.","3","aims to reveal","True","act","States the discourse’s intended action/outcome; a discourse-act reflexive statement of purpose.","MACRO","Sets the overarching objective guiding the thesis as a whole.","Purpose/aim declarations in Introductions function at document level.","MD","Organizes reader expectations about the study’s goal; does not add propositional world content.","INT_ACTIVE","Provides structural guidance by signalling intended outcomes/purpose.","Frame Marker","False","Canonical aim-stating move framing the study’s purpose.","False","","","","False","","","","","","States the document-wide aim, guiding interpretation of what follows; Interactive Frame Marker with macro reach."
"AP1","Introduction","Ultimately, the study demonstrates that the generic structures of these addresses do vary according to context of situation.","1","Ultimately","False","","Does not refer to the text, writer/reader, or speech act; it signals a concluding stage.","MACRO","Signals the culminating stage of the Introduction, framing the following claim as a global conclusion.","In an Introduction, conclusive adverbs like 'Ultimately' conventionally frame a section-level conclusion or summary.","MD","Removing it leaves propositional content intact while weakening organizational guidance.","INT_ACTIVE","Guides readers through discourse structure by marking a concluding stage.","Frame Marker","False","Functions like 'finally/in conclusion' to mark a macro-level stage rather than a local logical relation.","False","","","","False","","","","","","Non-reflexive organizer marking the Introduction’s concluding stage; removing it preserves content but reduces structural guidance; best fits a macro-scope Frame Marker."
"AP1","Introduction","Ultimately, the study demonstrates that the generic structures of these addresses do vary according to context of situation.","2","the study demonstrates that","True","text","'the study' is text-reflexive; 'demonstrates' also references the discourse act (dual reflexivity), framing the finding as the study’s demonstration.","MACRO","Labels and presents the thesis-level outcome of the research.","Text-reflexive reference to the whole study in an Introduction announces a global finding.","MD","Reflexivity is present; removing the expression leaves content but removes metadiscursive framing.","INT_ACTIVE","Primarily organizes/labels a major stage (presenting the core finding).","Frame Marker","True","PRIMARY: Frame Marker (announces key research outcome at macro level). SECONDARY: Booster (verb 'demonstrates' conveys high certainty).","False","","","","True","Frame Marker","Booster","","PRIMARY strongly dominant; SECONDARY moderate","Organizational framing dominates at macro level; lexical choice 'demonstrates' adds interpersonal certainty.","Dual-reflexive macro-scope organizer that presents the study’s key outcome; Frame Marker primary with secondary Booster force from 'demonstrates'."
"AP2","Method","A first bunch of statistics extracted from the EPA Diacorpus is provided by the following table (tab.7.1).","1","A first bunch of","False","","Does not refer to the text, discourse act, or participants; it signals ordering of presented items.","MESO","Sequences this set of results relative to subsequent sets within the section/subsection.","The ordinal 'first' organizes the flow of the upcoming results beyond the immediate clause.","MD","Removal test shows organizational guidance (sequencing) is lost while core content stands; function is to guide reading order.","INT_ACTIVE","Organizes presentation of content rather than expressing stance.","Frame Marker","False","Typical sequencing marker signaling the first stage in a series.","False","","","","False","","","","","","Minimal span 'A first bunch of' functions as a sequencing Frame Marker (Interactive) with meso reach across the series of results; it is non-reflexive but clearly MD by the removal test."
"AP2","Method","A first bunch of statistics extracted from the EPA Diacorpus is provided by the following table (tab.7.1).","2","the following table (tab.7.1)","True","text","Explicit reference to a textual element and its location in the document.","MICRO","Points to a single, immediate text element (Table 7.1).","Classic endophoric reference with local, item-specific guidance.","MD","Reflexive reference to the text is sufficient for MD; removal leaves content but removes guidance.","INT_ACTIVE","Organizes navigation through the text rather than expressing stance.","Endophoric Marker","False","Prototypical internal pointer to a text element with explicit table number.","False","","","","False","","","","","","Text-reflexive pointer to Table 7.1 guides local navigation (micro), classically an Interactive Endophoric Marker."
"AP2","Method","A high TTR indicates a large amount of lexical variation, while a low TTR indicates a limited lexical variation.","1","while","False","","Does not refer to the text, discourse act, or participants; it signals a contrastive relation between two propositions.","MESO","Links and contrasts the two propositions about TTR interpretations within the sentence.","Its functional reach is to organize the relation between two adjacent propositions (more than a single clause, less than a section-wide frame).","MD","Non-truth-conditional organizer; removing it preserves propositional content but removes explicit guidance about the contrast.","INT_ACTIVE","Manages information flow by signaling a contrastive relation; a structural/organizational function.","Transition","False","Contrastive connective equivalent to ‘whereas’, a prototypical Transition in Hyland’s taxonomy.","False","","","","False","","","","","","‘While’ is a non-reflexive connective that organizes a contrast between two clauses. Removing it leaves both propositions but removes explicit contrast. This is Interactive metadiscourse (Transition) with meso-scope across the two propositions."
"AP2","Method","But while American EPA writers are wordier, their British colleagues seem to employ longer sentences in comparison (+3.2 words).","1","But","False","","Signals an adversative link between propositions; does not refer to text/act/participants.","MESO","Links the current finding (British longer sentences) to the preceding statement (American writers wordier), establishing an inter-sentential contrast within the local comparison sequence.","Functional reach spans adjacent propositions across a sentence boundary, organizing the comparison segment rather than the whole section.","MD","Removal preserves content but removes guidance about how this sentence relates to the prior one (contrast).","INT_ACTIVE","Organizes relations between segments and guides information flow (adversative link).","Transition","False","Adversative transition marking a contrast between adjacent discourse units.","False","","","","False","","","","","","‘But’ organizes an inter-sentential contrast within the local comparison, leaving propositional content intact if removed."
"AP2","Method","But while American EPA writers are wordier, their British colleagues seem to employ longer sentences in comparison (+3.2 words).","2","seem to","False","","Modulates commitment to the proposition; no reference to the text/act/participants.","MICRO","Qualifies only the claim that British colleagues employ longer sentences.","Affects the stance toward a single proposition, not relations across propositions.","MD","Does not add content about sentence length; it modulates the author’s commitment to that content.","INT_ACTIONAL","Expresses epistemic stance toward the claim, an interpersonal function.","Hedge","False","‘Seem to’ is a prototypical hedge signaling tentativeness.","False","","","","False","","","","","","‘Seem to’ hedges the main claim, expressing tentative stance without altering propositional content."
"AP2","Method","But while American EPA writers are wordier, their British colleagues seem to employ longer sentences in comparison (+3.2 words).","3","in comparison","False","","Signals a comparative relation; does not reference the text/act/participants.","MICRO","Makes the comparative framing of the current claim explicit within the same proposition.","Operates within the proposition as a local relation cue, not across multiple propositions.","MD","Guides interpretation by making the comparison explicit; does not add substantive content.","INT_ACTIVE","Organizes how to read the current statement (as comparative) rather than expressing stance.","Transition","False","Functions as a comparative relation marker; fits Hyland’s transitions signaling relations between ideas.","False","","","","False","","","","","","‘In comparison’ explicitly frames the clause as comparative, reinforcing the relation locally without altering content."
"AP2","Method","Considering the EPA Diacorpus in its whole extension, table 7.1 highlights a difference in terms of length between American and British EPAs, covering respectively 60% (180,375 tokens) and 40% (118,763 tokens) of the overall tokens, despite texts are almost equally distributed across both areas (187 American and 191 British EPAs).","1","Considering the EPA Diacorpus in its whole extension","False","","Functions like 'in view of/regarding' the research object; sets analytical scope without explicitly referring to the text, the discourse act, or participants.","MICRO","Frames the scope of the immediate statistical claim in this sentence (that the figures refer to the corpus as a whole).","Removal test indicates local framing; no evidence it organizes a broader span beyond the current statement.","BORDER","Genuine dual function: conveys content about the analytical domain (whole corpus) and frames how to read the upcoming claim. Dominant effect is organizational framing, but the scope information is also factual.","INT_ACTIVE","Primarily organizes interpretation by setting the analytical frame; not expressing stance or directly addressing readers.","Frame Marker","False","Typical framing/limiting-of-scope device aligning with Hyland's Frame Markers.","True","MD","PROP","Simultaneously frames discourse and specifies factual analytic scope; framing judged primary in a Method context.","False","","","","","","Sentence-initial 'Considering...' frames the immediate claim (interactive Frame Marker) while also stating the factual domain (whole corpus), yielding L1 borderline with MD dominant; not reflexive."
"AP2","Method","Considering the EPA Diacorpus in its whole extension, table 7.1 highlights a difference in terms of length between American and British EPAs, covering respectively 60% (180,375 tokens) and 40% (118,763 tokens) of the overall tokens, despite texts are almost equally distributed across both areas (187 American and 191 British EPAs).","2","table 7.1 highlights","True","text","Explicit reference to an internal textual element (Table 7.1).","MICRO","Points readers to a specific internal resource supporting this claim.","Endophoric reference organizes access to evidence for this proposition only.","MD","Text-reflexivity guarantees metadiscourse; removal leaves content but loses organizational pointer to evidence.","INT_ACTIVE","Organizational guidance to an internal resource rather than stance-taking.","Endophoric Marker","False","Prototypical internal cross-reference to a table.","False","","","","False","","","","","","Text-reflexive pointer to Table 7.1 organizing access to evidence for this claim (Interactive Endophoric Marker, MICRO)."
"AP2","Method","Considering the EPA Diacorpus in its whole extension, table 7.1 highlights a difference in terms of length between American and British EPAs, covering respectively 60% (180,375 tokens) and 40% (118,763 tokens) of the overall tokens, despite texts are almost equally distributed across both areas (187 American and 191 British EPAs).","3","despite texts are almost equally distributed across both areas","False","","Signals a logical relation between propositions; no reference to text or discourse participants/acts.","MICRO","Links two elements within the current sentence (token distribution vs near-equal text counts).","Local connective role within a single complex sentence.","MD","Organizes the relation between propositions; removal leaves content but loses the concessive link.","INT_ACTIVE","Structural guidance between clauses rather than stance/engagement.","Transition","False","Prototypical concessive transition signalling contrast.","False","","","","False","","","","","","Non-reflexive but clearly organizational concessive link between co-presented stats (Interactive Transition, MICRO)."
"AP2","Method","Eventually, the mean sentence length of the corpus was calculated, which is 21.04","1","Eventually","False","","Refers to sequencing of procedural steps, not to the text, discourse act, or participants.","MESO","Orders this methodological step relative to preceding steps across the local Methods paragraph.","Functions as a sequencer across neighboring sentences describing the procedure.","MD","Removal test shows loss of discourse organization (sequencing) while truth-conditional content remains; in Methods the function is organizational, not ideational timing.","INT_ACTIVE","Guides readers through the structure of steps (organizational), not stance or engagement.","Frame Marker","False","Matches Hyland’s sequencer subtype (e.g., first/next/finally); ‘eventually’ here marks the culminating step rather than a contrast/addition/consequence transition.","False","","","","False","","","","","","Non-reflexive temporal adverb used as a discourse sequencer in the Methods narrative; removing it preserves propositional content but loses organizational guidance. Operates at meso-scope across steps and fits Hyland’s Frame Marker (sequencer) category. No genuine L1 or L2 borderline."
