"thesis_code","section","sentence","expression_number","expression","is_reflexive","reflexivity_type","reflexivity_reasoning","scope_classification","scope_reach","scope_reasoning","L1_classification","L1_reasoning","L2_classification","L2_reasoning","L3_classification","L3_borderline","L3_reasoning","L1_borderline_is","L1_borderline_dominant","L1_borderline_secondary","L1_borderline_why","L2_borderline_is","L2_borderline_primary","L2_borderline_secondary","L2_borderline_tertiary","L2_borderline_strength","L2_borderline_why","comprehensive_justification"
"AP1","Introduction","Next, the main theoretical concepts of the study will be mapped out, from genre, cline of instantiation to context of situation.","2","the main theoretical concepts of the study will be mapped out","True","text + act","'the study' refers to the text itself (text-reflexive) and 'will be mapped out' announces a discourse act to be performed in the text.","MACRO","Announces a major section (mapping the theoretical framework) covering multiple subsequent units.","Acts as a section-announcing move typical of introduction roadmaps setting up a major discourse segment.","MD","Reflexive announcement focuses on organizing the discourse; removal leaves content but loses structural guidance.","INT_ACTIVE","Guides structure and previews section aims rather than expressing stance or engaging readers interpersonally.","Frame Marker","False","A conventional section/goal announcement. 'This study will...' frames the upcoming discourse; 'Self-Mention' is inapplicable (no author reference), so no L2 borderline.","False","","","","False","","","","","","The clause explicitly announces a forthcoming section of the study and the discourse act to be performed, guiding readers at the macro level. It is interactive MD (Frame Marker), with boundary correctly stopping before the propositional content list introduced by 'from'."
"AP1","Introduction","Scacci (2011) states, ‘genres exist in relation to certain situational constraints, the weekly address is unique in its routine response to the week’s events packaged for both public and press consumption’.","1","Scacci (2011) states","False","","Refers to an external source’s discourse, not to the current text, author, or reader.","MICRO","Attributes the immediately following quoted proposition to Scacci (2011) only.","By stopping before the propositional complement (direct quote), the operator performs local attribution for a single claim (Rule 2).","MD","Guides the reader about the source of the claim; removal test shows discourse-management function without changing propositional content.","INT_ACTIVE","Organizes intertextual sourcing and information flow rather than expressing stance toward the content.","Evidential","False","Canonical citation + reporting verb pattern attributing the proposition to an external source.","False","","","","False","","","","","","Reporting frame 'Scacci (2011) states' attributes the following quote to a source. Non-reflexive but metadiscursive: it manages intertextual attribution. Scope is local to the quoted proposition. Classified as Interactive Evidential."
"AP1","Introduction","The present study aims to fill this gap within studies of this particular genre.","1","The present study aims to fill this gap","True","text","'The present study' refers to the current text (text-reflexive) and the predicate signals the discourse act (announcing the study’s aim); 'this gap' anaphorically links to the previously described gap.","MACRO","Frames the overarching purpose of the thesis (filling an identified gap) and orients the reader to the study’s rationale across the whole document.","In an Introduction, a purpose/aims move frames the entire project; its function extends across sections (genre-conventional macro framing).","MD","Reflexivity is present (text-reflexive subject and discourse-act predicate). Removing the expression removes organizational guidance but not domain content.","INT_ACTIVE","Primarily organizes the discourse by announcing the study’s purpose (guiding the reader through the document’s structure and rationale).","Frame Marker","True","Primary: Frame Marker (announcing aims at macro level). Secondary MD feature: 'this gap' endophorically links to prior discourse. Frame Marker clearly dominates; endophoric function is subordinate.","False","","","","True","Frame Marker","Endophoric Marker","","PRIMARY strongly dominant; SECONDARY weak","The clause frames the study’s purpose (macro organizing function) while 'this gap' anaphorically connects to prior discussion of the gap.","Text-reflexive purpose statement in the Introduction that frames the entire thesis (macro scope). Primary MD function is a Frame Marker. The anaphoric 'this gap' introduces a secondary endophoric feature but does not outweigh the framing role."
"AP1","Introduction","This introductory chapter will first explain the functions of language, politics and discourse.","1","This introductory chapter","True","text","Refers endophorically to the current text unit (the chapter) via 'This' + 'chapter', making the text itself the referent.","MACRO","Anchors organization at chapter level; frames the subsequent roadmap sentences ('Secondly', 'Next') as stages of this chapter.","In an Introduction, explicit reference to the chapter sets up a global frame for the organizational plan spanning multiple stages.","MD","Text-reflexivity is sufficient for MD; it organizes interpretation of the upcoming text rather than adding world content.","INT_ACTIVE","Guides text organization by framing the discourse as belonging to this chapter.","Frame Marker","True","Primary: Frame Marker (announces/stages a chapter-level plan). Secondary: Endophoric Marker (explicit reference to a text part).","False","","","","True","Frame Marker","Endophoric Marker","","PRIMARY strongly dominant","The expression both frames chapter staging and refers to a text unit; organizational staging dominates in this context.","Text-reflexive subject NP frames the chapter as the scope of the roadmap, functioning as a macro-level frame marker with secondary endophoric reference."
"AP1","Introduction","This introductory chapter will first explain the functions of language, politics and discourse.","2","will first explain","True","act","Names and schedules the upcoming discourse act (explaining), making the act itself the referent; 'first' sequences that act.","MACRO","Signals the first stage of a chapter-wide plan; co-text ('Secondly', 'Next') confirms multi-stage organization.","Sequencing of chapter stages has functional reach across the chapter, not just the clause.","MD","Discourse-act reflexivity and sequencing organize discourse rather than add world-based content.","INT_ACTIVE","Purely organizational: announces and sequences discourse stages.","Frame Marker","False","Combines goal announcement ('will explain') with sequencer ('first'): a prototypical Frame Marker in chapter roadmaps.","False","","","","False","","","","","","Discourse-act announcement plus sequencer establishes the first stage of a chapter-wide roadmap; classic macro Frame Marker."
"AP1","Introduction","This study takes the standpoint that genre is ‘a staged, goal oriented, purposeful activity in which speakers engage as members of our culture’.","1","This study takes the standpoint","True","text","'This study' refers to the text (text-reflexive) and the predicate profiles the discourse act of adopting a position (act-reflexive); primary reflex is text-reference.","MACRO","Announces the thesis’s theoretical framework, guiding interpretation and analysis across sections/chapters.","Introduction genre and text-reflexive reference indicate global framing; removal test shows loss of document-wide guidance rather than local content.","MD","Reflexivity is present (sufficient for MD). The operator organizes how readers take the following content (framework adoption) rather than adding world content.","INT_ACTIVE","Dominant function is organizational: it frames the discourse and signals a major element of the thesis architecture.","Frame Marker","True","PRIMARY: Frame Marker (announces theoretical framework at macro level). SECONDARY: Self-Mention (the text as agent via 'This study'). TERTIARY (weak): Evidential-like adoption of a stance ('takes the standpoint').","False","","","","True","Frame Marker","Self-Mention","Evidential","PRIMARY strongly dominant; SECONDARY moderate; TERTIARY weak","Expression simultaneously frames the discourse (primary), enacts text-as-agent presence (secondary), and weakly signals stance adoption. Organizational effect is strongest given intro context and global reach.","Reflexive, macro-scoping operator in the Introduction that frames the thesis’s theoretical standpoint. Primary MD type = Frame Marker; secondary Self-Mention; tertiary weak Evidential signal. Definition remains without the operator, but global framing is lost."
"AP1","Introduction","This thesis focuses on ‘text as an instrument’ and aims to reveal the generic structure of written-to-be-spoken language within the discourse of politics.","1","This thesis focuses on","True","text","'This thesis' explicitly refers to the document itself; the clause presents what the text does.","MACRO","Frames the global research focus for the entire thesis.","Introductory frame marking that orients readers to the overall topic and scope of the document.","MD","Text-reflexive; removal test shows organization/framing function without adding world content.","INT_ACTIVE","Organizes discourse by announcing focus; guides reader expectations rather than expressing stance.","Frame Marker","False","Announces the study’s focus/scope—prototypical frame marking in academic introductions.","False","","","","False","","","","","","Sentence-initial text-reflexive operator that frames the thesis’s overall focus, guiding the reader at macro level; functions as an Interactive Frame Marker."
"AP1","Introduction","This thesis focuses on ‘text as an instrument’ and aims to reveal the generic structure of written-to-be-spoken language within the discourse of politics.","2","aims","True","act","Refers to the discourse act/purpose of the thesis (aim), with implicit text-reflexive subject 'This thesis'.","MACRO","States the global purpose guiding the entire thesis.","Purpose announcement in the Introduction sets expectations for the whole document.","MD","Reflexive about the discourse’s aim; removing it leaves content intact but loses organizational purpose.","INT_ACTIVE","Organizes by stating objectives; frames how to read subsequent sections.","Frame Marker","False","Announces the research aim/purpose—a core frame-marking move in introductions.","False","","","","False","","","","","","Coordinated predicate that states the thesis’s global aim, functioning as an Interactive Frame Marker at macro level."
"AP1","Introduction","Ultimately, the study demonstrates that the generic structures of these addresses do vary according to context of situation.","1","Ultimately","False","","Does not refer to the text, discourse act, or participants; it signals the culminating stage of the discourse.","MACRO","Signals the global/conclusive status of the following claim as the study’s culminating point.","In an Introduction wrap-up, this adverb cues the final move and orients the reader at the text/section level.","MD","Removal test shows only discourse framing is lost; no propositional content is contributed.","INT_ACTIVE","Organizes discourse by marking a stage/culmination rather than expressing stance toward content.","Frame Marker","False","Announces a discourse stage (final/culminating move), a canonical frame-marking function.","False","","","","False","","","","","","‘Ultimately’ frames the next proposition as the study’s culminating point, organizing the Introduction at a macro level (Frame Marker)."
"AP1","Introduction","Ultimately, the study demonstrates that the generic structures of these addresses do vary according to context of situation.","2","the study demonstrates","True","text","'the study' is text-reflexive (refers to the thesis); 'demonstrates' names the discourse act (hybrid text + act), sufficing for MD.","MACRO","Announces the study’s main finding, framing the global conclusion the thesis supports.","In an Introduction summary, this reporting construction frames the central contribution; functional reach is section/text-wide.","MD","Reflexivity (text + act) is sufficient for MD; removal preserves content but removes organizational framing.","INT_ACTIVE","Primarily organizes the discourse by announcing the study’s key finding.","Frame Marker","True","PRIMARY: Frame Marker (announces main finding; macro, organizational). SECONDARY: Booster (the verb 'demonstrates' conveys high certainty). Self-mention is not triggered by 'the study', and evidential in Hyland typically cites external sources.","False","","","","True","Frame Marker","Booster","","PRIMARY strongly dominant; SECONDARY moderate","Organizational announcement of the main finding is primary; lexical choice 'demonstrates' concurrently strengthens commitment.","‘the study demonstrates’ is reflexive MD that globally frames the ensuing proposition as the thesis’s central demonstrated finding (Frame Marker), with concurrent certainty (Booster)."
"AP2","Method","A first bunch of statistics extracted from the EPA Diacorpus is provided by the following table (tab.7.1).","1","the following table (tab.7.1)","True","text","Refers to a specific textual element in the document (Table 7.1) with forward deictic 'following' and explicit label; this is text-reflexive.","MICRO","Locally guides the reader from this clause to the adjacent table presenting the data.","Endophoric reference affects only the immediate proposition/navigation to a single table; it does not structure a larger section.","MD","Reflexivity is sufficient for MD: the expression points to a text-internal element (Table 7.1). Removing it removes guidance but not core content.","INT_ACTIVE","It organizes reader navigation within the text by creating an internal cross-reference, not expressing stance.","Endophoric Marker","False","Prototypical endophoric pointer to a labeled table within the same document, using forward deictic and parenthetical label.","False","","","","False","","","","","","The NP 'the following table (tab.7.1)' is a text-reflexive endophoric marker that locally directs readers to the table. It is Interactive MD (organizational guidance) with micro-scope; excluding the surrounding predicate avoids including non-reflexive operand."
"AP2","Method","A high TTR indicates a large amount of lexical variation, while a low TTR indicates a limited lexical variation.","1","while","False","","Does not refer to text, discourse act, or discourse participants; it signals a relation between propositions.","MICRO","Links and contrasts the two clauses within the same sentence (high vs. low TTR interpretations).","Function is localized to clause linkage within a single sentence; no cross-sentential organizing.","MD","Removal preserves propositional content but loses explicit guidance about their relationship; thus it organizes discourse rather than adding content.","INT_ACTIVE","Primarily organizes propositional content by marking a contrastive relation.","Transition","False","Explicitly signals an adversative/contrastive relation between two segments, a core Transition function.","False","","","","False","","","","","","‘while’ is a non-reflexive but metadiscursive interactive Transition that locally signals contrast between two clauses; removing it leaves content but weakens guidance."
"AP2","Method","But while American EPA writers are wordier, their British colleagues seem to employ longer sentences in comparison (+3.2 words).","1","But","False","","Does not refer to the text/act/participants; signals a contrastive relation between segments.","MESO","Links the current sentence to the preceding statement about corpus statistics, marking an inter-sentential contrast.","Typical meso-scope transition marking a contrast across sentence boundary within the same analytic unit.","MD","Removal preserves propositional content but weakens organization of relations; thus metadiscursive.","INT_ACTIVE","Organizes discourse by signaling a contrast; structural/organizational function.","Transition","False","Adversative transition connecting the current finding with the prior one.","False","","","","False","","","","","","‘But’ organizes a contrast with the preceding statistic; removing it leaves content intact but weakens coherence. Classic interactive transition with meso reach."
"AP2","Method","But while American EPA writers are wordier, their British colleagues seem to employ longer sentences in comparison (+3.2 words).","2","while","False","","Signals intra-sentential concessive contrast rather than referring to discourse entities.","MICRO","Relates two clauses within the same sentence: American wordiness vs British sentence length.","Intra-sentential connective linking two clauses; does not extend across sentences.","MD","Guides the reader on how to relate two propositions; content unchanged if removed.","INT_ACTIVE","Organizational function indicating a concessive relationship.","Transition","False","Concessive/contrastive linkage within the sentence.","False","","","","False","","","","","","‘While’ organizes a concessive contrast within the sentence; removal leaves content but blurs the relation. Interactive transition with micro reach."
"AP2","Method","But while American EPA writers are wordier, their British colleagues seem to employ longer sentences in comparison (+3.2 words).","3","seem to","False","","Conveys epistemic stance toward the proposition; no reference to text/act/participants.","MICRO","Qualifies only the claim that British colleagues employ longer sentences.","Affects certainty of a single claim; no wider organizational reach.","MD","Modulates commitment to the claim (stance) without adding propositional content.","INT_ACTIONAL","Interpersonal function expressing epistemic caution to the reader.","Hedge","False","Classic epistemic hedge indicating inference/appearance rather than certainty.","False","","","","False","","","","","","‘Seem to’ modulates epistemic commitment to the British-sentences claim; removal strengthens assertion. Interactional hedge with micro scope."
"AP2","Method","Considering the EPA Diacorpus in its whole extension, table 7.1 highlights a difference in terms of length between American and British EPAs, covering respectively 60% (180,375 tokens) and 40% (118,763 tokens) of the overall tokens, despite texts are almost equally distributed across both areas (187 American and 191 British EPAs).","1","Considering","True","act","Invokes the discourse act of taking something into account; it frames how the following material is to be interpreted.","MESO","Frames the analytical perspective (whole corpus) for the local run of quantitative statements in this segment.","Functions as a framing device spanning more than a single clause but not the entire section.","MD","Discourse-act reflexivity is sufficient for metadiscourse; removal leaves propositional content intact but removes guidance.","INT_ACTIVE","Organizes interpretation by setting a frame rather than expressing stance toward a claim.","Frame Marker","False","Canonical framing of scope/perspective for subsequent information.","False","","","","False","","","","","","Operator 'Considering' frames how to read ensuing data (meso scope); reflexive to the discourse act, thus MD, functioning as an interactive Frame Marker."
"AP2","Method","Considering the EPA Diacorpus in its whole extension, table 7.1 highlights a difference in terms of length between American and British EPAs, covering respectively 60% (180,375 tokens) and 40% (118,763 tokens) of the overall tokens, despite texts are almost equally distributed across both areas (187 American and 191 British EPAs).","2","table 7.1","True","text","Explicit reference to an internal text element (Table 7.1).","MICRO","Directs the reader to a specific internal source for the immediate claim.","Guides navigation to a single text element; does not structure a larger segment.","MD","Text-reflexivity ensures MD; removing it removes navigational guidance, not content.","INT_ACTIVE","Performs organizational guidance within the text.","Endophoric Marker","False","Prototypical internal cross-reference to a table.","False","","","","False","","","","","","Reference to an internal text element provides local navigational guidance; a clear interactive Endophoric Marker with micro reach."
"AP2","Method","Considering the EPA Diacorpus in its whole extension, table 7.1 highlights a difference in terms of length between American and British EPAs, covering respectively 60% (180,375 tokens) and 40% (118,763 tokens) of the overall tokens, despite texts are almost equally distributed across both areas (187 American and 191 British EPAs).","3","despite","False","","Signals a relation between propositions (concession) rather than referencing text, act, or participants.","MICRO","Connects the main clause with the concessive subordinate clause within the same sentence.","Operates locally to relate two immediate propositions.","MD","Removal preserves content but removes the organizing link; hence metadiscourse.","INT_ACTIVE","Organizes propositional relations (concession) rather than expressing stance.","Transition","False","Prototypical concessive transition linking propositions.","False","","","","False","","","","","","Concessive operator organizes the relation between two clauses; removal test confirms MD status; a micro-scope interactive Transition."
"AP2","Method","Eventually, the mean sentence length of the corpus was calculated, which is 21.04","1","Eventually","False","","Signals the final position in a procedural sequence; does not refer to the text, the discourse act, or participants.","MESO","Connects this sentence to preceding methodological steps, marking the culmination of a short sequence within the Methods narrative.","Its function is to sequence and frame the final step of a local procedural block (2–3 sentences), not the whole section (macro) nor a single proposition only (micro).","MD","Removal leaves truth-conditional content intact while degrading discourse organization (sequential positioning). This is organizational guidance rather than content.","INT_ACTIVE","Guides the reader through the structure of the Methods description by sequencing steps; not stance or engagement.","Frame Marker","False","Functions as a sequencing frame marker indicating the final stage of the methodological sequence, consistent with Hyland’s frame markers.","False","","","","False","","","","","","‘Eventually’ organizes a local sequence of methodological actions, marking the final step. It does not add content but guides readers through the Methods narrative; thus MD → Interactive → Frame Marker with meso reach."
"AP2","Method","Exploring the decades, at least two periods seem to be particularly relevant in terms of change and worth of further investigation: between the 1960s and the 1970s, when the value of STTR shrinks down, quiet unexpectedly, from 43.72 to 41.5, and between the 1970s and the 1980s, when, on the contrary, a rapid growth is evidenced, from 41.5 and 44.3.","1","Exploring the decades","True","act","Refers to the author’s ongoing analytical act (exploring) within the discourse.","MESO","Frames the analytical perspective for the complex sentence that identifies and contrasts two decades.","Operates across multiple propositions in the sentence (not just one clause) but does not organize the entire section.","MD","Discourse-act reflexivity is sufficient for MD; removal leaves content intact but loses organizational framing.","INT_ACTIVE","Organizes and signals the analytical focus rather than expressing stance toward truth-value.","Frame Marker","False","Announces the stage/focus of analysis, guiding reader orientation.","False","","","","False","","","","","","Sentence-initial participial frame announces the analytical move (discourse-act reflexive), guiding the reader across the sentence-level analysis → Interactive/Frame Marker, meso-scope."
"AP2","Method","Exploring the decades, at least two periods seem to be particularly relevant in terms of change and worth of further investigation: between the 1960s and the 1970s, when the value of STTR shrinks down, quiet unexpectedly, from 43.72 to 41.5, and between the 1970s and the 1980s, when, on the contrary, a rapid growth is evidenced, from 41.5 and 44.3.","2","seem to be","False","","Modulates commitment to the proposition; does not refer to text, act, reader, or author explicitly.","MICRO","Hedges the single claim about the relevance of the two periods.","Affects only the immediate proposition’s epistemic force.","MD","Removal test: content remains; only stance modulation is affected.","INT_ACTIONAL","Expresses epistemic stance toward the claim, negotiating commitment with readers.","Hedge","False","‘Seem to be’ is a prototypical hedge withholding full commitment.","False","","","","False","","","","","","Epistemic hedge modulating a single proposition’s certainty → Interactional/Hedge, micro-scope; operand excluded per R5."
"AP2","Method","Exploring the decades, at least two periods seem to be particularly relevant in terms of change and worth of further investigation: between the 1960s and the 1970s, when the value of STTR shrinks down, quiet unexpectedly, from 43.72 to 41.5, and between the 1970s and the 1980s, when, on the contrary, a rapid growth is evidenced, from 41.5 and 44.3.","3","on the contrary","False","","Signals a relation between propositions; not a reference to text/act/participants.","MESO","Explicitly contrasts two adjacent analytical outcomes (decrease vs increase) within the sentence.","Connects two propositions within the sentence; scope exceeds a single clause but is not section-wide.","MD","Organizes discourse by marking a contrastive relation; content remains intact if removed.","INT_ACTIVE","Guides readers through relations between propositions (structural function).","Transition","False","Classical contrastive transition marking opposition to the prior trend.","False","","","","False","","","","","","Explicit contrastive connective linking two results → Interactive/Transition with meso scope over the paired propositions."
