thesis_code,section,sentence,expression_number,expression,is_reflexive,reflexivity_type,scope_classification,L1_classification,L2_classification,L3_classification,L3_borderline,L1_borderline_is,L1_borderline_dominant,L1_borderline_secondary,L1_borderline_why,L2_borderline_is,L2_borderline_primary,L2_borderline_secondary,L2_borderline_tertiary,L2_borderline_strength,L2_borderline_why,comprehensive_justification
AP1,Introduction,"Hasan (2001: 8) maintains that context (of situation) is important in two ways, first in shaping language as a system and then highlighting language as a process.",2,first,True,text,MICRO,MD,INT_ACTIVE,Frame Markers,False,False,"","","",False,"","","","","",Local sequencer marking item 1 in a two-part list; micro interactive frame marker.
AP1,Introduction,"Hasan (2001: 8) maintains that context (of situation) is important in two ways, first in shaping language as a system and then highlighting language as a process.",3,then,True,text,MICRO,MD,INT_ACTIVE,Frame Markers,False,False,"","","",False,"","","","","",Micro-level sequencer marking item 2; interactive frame marker within the reported proposition.
AP1,Introduction,It is possible to establish a sub-genre within the Radio Address.,1,It is possible to,False,"",MICRO,MD,INT_ACTIONAL,Hedge,False,False,"","","",False,"","","","","","Impersonal possibility construction functions as an Interactional hedge with micro scope, softening the claim about establishing sub-genres; not reflexive and not genuinely Level 1 borderline in this context."
AP1,Introduction,"Next, the main theoretical concepts of the study will be mapped out, from genre, cline of instantiation to context of situation.",1,Next,True,act,MACRO,MD,INT_ACTIVE,Frame Marker,False,False,"","","",False,"","","","","","‘Next’ is a discourse-act reflexive sequencer organizing the chapter roadmap. It has macro reach, functions interactively as a Frame Marker, and stands as its own MD unit."
AP1,Introduction,"Next, the main theoretical concepts of the study will be mapped out, from genre, cline of instantiation to context of situation.",2,the main theoretical concepts of the study will be mapped out,True,act,MACRO,MD,INT_ACTIVE,Frame Marker,False,False,"","","",False,"","","","","",Clause frames a major section (macro) announcing the discourse act for this study. Interactive Frame Marker; boundary stops before the content list introduced by 'from'.
AP1,Introduction,"Scacci (2011) states, ‘genres exist in relation to certain situational constraints, the weekly address is unique in its routine response to the week’s events packaged for both public and press consumption’.",1,Scacci (2011) states,False,"",MICRO,MD,INT_ACTIVE,Evidentials,False,False,"","","",False,"","","","","","The reporting frame attributes the following quoted definition to Scacci (2011). It is non-reflexive, has local (MICRO) reach, and functions as Interactive metadiscourse of the Evidential type."
AP1,Introduction,The present study aims to fill this gap within studies of this particular genre.,1,The present study aims,True,text,MACRO,MD,INT_ACTIVE,Frame Marker,False,False,"","","",False,"","","","","","Text-reflexive, sentence-initial purpose statement in an Introduction that frames the entire thesis. With operator correctly delimited as 'The present study aims', the unit functions as an Interactive Frame Marker with macro reach."
AP1,Introduction,"This introductory chapter will first explain the functions of language, politics and discourse.",1,This introductory chapter,True,text,MACRO,MD,INT_ACTIVE,Frame Marker,False,False,"","","",False,"","","","","","Text-reflexive NP labels the chapter as a discourse unit, framing the macro-organization in a roadmap context."
AP1,Introduction,"This introductory chapter will first explain the functions of language, politics and discourse.",2,will first explain,True,act,MACRO,MD,INT_ACTIVE,Frame Marker,False,False,"","","",False,"","","","","","Predicate announces and sequences the chapter’s first stage; excludes the propositional complement, ensuring a pure MD operator."
AP1,Introduction,"This study takes the standpoint that genre is ‘a staged, goal oriented, purposeful activity in which speakers engage as members of our culture’.",1,This study takes the standpoint that,True,text,MACRO,MD,INT_ACTIVE,Frame Marker,True,False,"","","",True,Frame Marker (Interactive),Self-Mention (Interactional),Attitude Marker (Interactional),PRIMARY strongly dominant; SECONDARY moderate; TERTIARY weak,Form and context chiefly organize the discourse (macro framing). 'This study' contributes author/text presence; 'takes the standpoint' signals stance commitment.,"Expression is a reflexive, sentence-initial organizer that frames the study’s theoretical lens for the whole thesis. It is clearly MD (reflex + removal test), Interactive at L2, and a Frame Marker at L3 with Level 2 borderline features (Self-Mention; weak Attitude)."
AP1,Introduction,This thesis focuses on ‘text as an instrument’ and aims to reveal the generic structure of written-to-be-spoken language within the discourse of politics.,1,This thesis focuses on,True,text,MACRO,MD,INT_ACTIVE,Frame Marker,False,False,"","","",False,"","","","","","Text-reflexive, sentence-initial frame marker announcing the thesis’s focus; removal preserves content but loses document-level framing; macro-scope Interactive MD (Frame Marker)."
AP1,Introduction,This thesis focuses on ‘text as an instrument’ and aims to reveal the generic structure of written-to-be-spoken language within the discourse of politics.,2,aims to,True,text,MACRO,MD,INT_ACTIVE,Frame Marker,False,False,"","","",False,"","","","","",Text-reflexive operator 'aims to' frames the document’s purpose; correct boundary stops before the propositional infinitival predicate; macro-scope Interactive MD (Frame Marker).
AP1,Introduction,"Ultimately, the study demonstrates that the generic structures of these addresses do vary according to context of situation.",1,Ultimately,True,"",MACRO,MD,INT_ACTIVE,Frame Marker,False,False,"","","",False,"","","","","","Ultimately frames the following claim as the culminating conclusion of the Introduction (macro), organizing reader expectations without altering content; a Frame Marker (Interactive)."
AP1,Introduction,"Ultimately, the study demonstrates that the generic structures of these addresses do vary according to context of situation.",2,the study demonstrates that,True,text,MACRO,MD,INT_ACTIVE,Frame Marker,True,False,"","","",True,Frame Marker,Booster,"",PRIMARY strongly dominant; SECONDARY moderate,Organizational framing is the dominant function at macro level; 'demonstrates' simultaneously boosts certainty.,Reflexive announcing move with macro reach that frames the thesis’s main conclusion (Frame Marker primary) while boosting commitment via 'demonstrates' (Booster secondary).
AP1,Introduction,"Ultimately, the study demonstrates that the generic structures of these addresses do vary according to context of situation.",3,do,False,"",MICRO,MD,INT_ACTIONAL,Booster,False,False,"","","",False,"","","","","","Emphatic auxiliary boosts the certainty of the specific claim only (micro), an Interactional Booster."
AP2,Method,A first bunch of statistics extracted from the EPA Diacorpus is provided by the following table (tab.7.1).,1,the following table (tab.7.1),True,text,MICRO,MD,INT_ACTIVE,Endophoric Marker,False,False,"","","",False,"","","","","","Text-reflexive NP directs readers to Table 7.1. Removing it loses only navigational guidance, not the data claim. Hence MD → Interactive → Endophoric Marker with micro scope."
AP2,Method,A first bunch of statistics extracted from the EPA Diacorpus is provided by the following table (tab.7.1).,2,A first bunch of statistics extracted from the EPA Diacorpus,False,"","",PROP,"","",False,False,"","","",False,"","","","","","Subject NP encodes what data are presented; it does not guide the reader or reference the text, so it is propositional with micro scope."
AP2,Method,"A high TTR indicates a large amount of lexical variation, while a low TTR indicates a limited lexical variation.",1,while,False,"",MICRO,MD,INT_ACTIVE,Transition,False,False,"","","",False,"","","","","","‘while’ is a non-reflexive connective that organizes contrast between two clauses, affecting only the local sentence-level relation. Removal leaves factual content but loses the contrastive link. Therefore, it is metadiscourse (Interactive Transition) with micro scope."
AP2,Method,"But while American EPA writers are wordier, their British colleagues seem to employ longer sentences in comparison (+3.2 words).",1,But,False,"",MESO,MD,INT_ACTIVE,Transition,False,False,"","","",False,"","","","","","Sentence-initial 'But' marks an inter-sentential contrast, guiding the reader across findings without adding content."
AP2,Method,"But while American EPA writers are wordier, their British colleagues seem to employ longer sentences in comparison (+3.2 words).",2,while,False,"",MICRO,MD,INT_ACTIVE,Transition,False,False,"","","",False,"","","","","","'While' signals an internal concessive relation between two clauses, guiding interpretation without adding content."
AP2,Method,"But while American EPA writers are wordier, their British colleagues seem to employ longer sentences in comparison (+3.2 words).",3,seem to,False,"",MICRO,MD,INT_ACTIONAL,Hedge,False,False,"","","",False,"","","","","","'Seem to' hedges the assertion about sentence length, marking epistemic caution without altering content."
AP2,Method,"Considering the EPA Diacorpus in its whole extension, table 7.1 highlights a difference in terms of length between American and British EPAs, covering respectively 60% (180,375 tokens) and 40% (118,763 tokens) of the overall tokens, despite texts are almost equally distributed across both areas (187 American and 191 British EPAs).",1,Considering,True,act,MESO,MD,INT_ACTIVE,Frame Marker,False,False,"","","",False,"","","","","",Discourse-act reflexive scoping operator. Excluding the NP complement (operand) per stopping rules leaves an interpretive frame that organizes the subsequent statistics across the sentence/paragraph.
AP2,Method,"Considering the EPA Diacorpus in its whole extension, table 7.1 highlights a difference in terms of length between American and British EPAs, covering respectively 60% (180,375 tokens) and 40% (118,763 tokens) of the overall tokens, despite texts are almost equally distributed across both areas (187 American and 191 British EPAs).",2,table 7.1,True,text,MESO,PROP,INT_ACTIVE,Endophoric Marker,False,False,"","","",False,"","","","","",Clear endophoric pointer to a table. Operator is the text-reference NP; predicate content remains propositional.
AP2,Method,"Considering the EPA Diacorpus in its whole extension, table 7.1 highlights a difference in terms of length between American and British EPAs, covering respectively 60% (180,375 tokens) and 40% (118,763 tokens) of the overall tokens, despite texts are almost equally distributed across both areas (187 American and 191 British EPAs).",3,despite,False,"",MICRO,MD,INT_ACTIVE,Transition,False,False,"","","",False,"","","","","",Non-reflexive but clearly metadiscursive connective signposting concession within the sentence.
AP2,Method,"Eventually, the mean sentence length of the corpus was calculated, which is 21.04",1,Eventually,True,"",MESO,MD,INT_ACTIVE,Frame Marker,False,False,"","","",False,"","","","","","‘Eventually’ is a sentence-initial sequencer guiding readers through the final step of the method. Removing it preserves content but removes the staging cue. Interactive MD at MESO scope, specifically a Frame Marker (sequencing/stage-labeling)."
AP2,Method,"Exploring the decades, at least two periods seem to be particularly relevant in terms of change and worth of further investigation: between the 1960s and the 1970s, when the value of STTR shrinks down, quiet unexpectedly, from 43.72 to 41.5, and between the 1970s and the 1980s, when, on the contrary, a rapid growth is evidenced, from 41.5 and 44.3.",1,Exploring the decades,True,act,MESO,MD,INT_ACTIVE,Frame Marker,False,False,"","","",False,"","","","","","Clear discourse-act reflexive frame marker at sentence onset guiding a local analytical step (meso), not altering factual content."
AP2,Method,"Exploring the decades, at least two periods seem to be particularly relevant in terms of change and worth of further investigation: between the 1960s and the 1970s, when the value of STTR shrinks down, quiet unexpectedly, from 43.72 to 41.5, and between the 1970s and the 1980s, when, on the contrary, a rapid growth is evidenced, from 41.5 and 44.3.",2,seem,False,"",MICRO,MD,INT_ACTIONAL,Hedge,False,False,"","","",False,"","","","","","Non-reflexive interactional MD: a hedge operating locally on the claim, with minimal operator span ('seem') established by stopping rules."
AP2,Method,"Exploring the decades, at least two periods seem to be particularly relevant in terms of change and worth of further investigation: between the 1960s and the 1970s, when the value of STTR shrinks down, quiet unexpectedly, from 43.72 to 41.5, and between the 1970s and the 1980s, when, on the contrary, a rapid growth is evidenced, from 41.5 and 44.3.",3,on the contrary,False,"",MESO,MD,INT_ACTIVE,Transition,False,False,"","","",False,"","","","","",Interactive MD linking two clause-level findings by explicit contrast; meso reach across propositions.
AP2,Method,"From a diachronic perspective, EPAs have become not only longer but also more syntactically developed and lexically richer over time: their length has more than doubled, from about 40 thousand tokens in the 1950s to more than 80 thousand tokens in the 2000s.",1,From a diachronic perspective,False,"",MESO,MD,INT_ACTIVE,Frame Marker,False,False,"","","",False,"","","","","","A non-reflexive, sentence-initial framing PP that organizes a diachronic reading of the next claims; meso-scope interactive Frame Marker."
AP2,Method,"From a diachronic perspective, EPAs have become not only longer but also more syntactically developed and lexically richer over time: their length has more than doubled, from about 40 thousand tokens in the 1950s to more than 80 thousand tokens in the 2000s.",2,not only... but also,False,"",MICRO,MD,INT_ACTIVE,Transition,False,False,"","","",False,"","","","","",Clear clause-internal organizer of an additive-emphatic relation; micro-scope interactive Transition.
AP2,Method,"From a diachronic perspective, EPAs have become not only longer but also more syntactically developed and lexically richer over time: their length has more than doubled, from about 40 thousand tokens in the 1950s to more than 80 thousand tokens in the 2000s.",3,about,False,"",MICRO,MD,INT_ACTIONAL,Hedge,False,False,"","","",False,"","","","","",Local stance modulation of numerical precision; micro-scope interactional Hedge.
AP2,Method,"It has to be noted that larger corpora give lower values for TTR; therefore, it is better to consider the standardised type/token ratio (STTR), “calculated for the first 1,000 running words, then calculated afresh for the next 1,000, and so on to the end of your text or corpus” (Scott 2007).",1,It has to be noted that,True,reader,MICRO,MD,INT_ACTIONAL,Engagement Marker,True,False,"","","",True,Engagement Marker,Attitude Marker,"","PRIMARY strongly dominant, SECONDARY moderate",Expression both directs reader attention and signals importance; directive function is dominant.,Reader-reflexive directive marking the following TTR caveat as noteworthy; micro-reach; Interactional Engagement primary with secondary Attitude shading.
AP2,Method,"It has to be noted that larger corpora give lower values for TTR; therefore, it is better to consider the standardised type/token ratio (STTR), “calculated for the first 1,000 running words, then calculated afresh for the next 1,000, and so on to the end of your text or corpus” (Scott 2007).",2,therefore,False,"",MESO,MD,INT_ACTIVE,Transition,False,False,"","","",False,"","","","","",Causal Transition guiding from premise to methodological choice; meso-reach across two clauses; Interactive organization.
AP2,Method,"It has to be noted that larger corpora give lower values for TTR; therefore, it is better to consider the standardised type/token ratio (STTR), “calculated for the first 1,000 running words, then calculated afresh for the next 1,000, and so on to the end of your text or corpus” (Scott 2007).",3,(Scott 2007),False,"",MICRO,MD,INT_ACTIVE,Evidential,False,False,"","","",False,"","","","","",Parenthetical evidential attributing the quoted procedure; micro-reach; Interactive organization of sources.
AP2,Method,"The EPA Diacorpus amounts to 299,138 tokens and 20,384 word types.",1,"The EPA Diacorpus amounts to 299,138 tokens and 20,384 word types.",False,"","",PROP,"","",False,False,"","","",False,"","","","","","A fully integrated descriptive sentence in Methods that reports corpus size. No reflexive reference to discourse/text, no organizing or stance function, and its removal only affects factual content. Hence PROP at MICRO scope."
AP2,Method,"The vocabulary size of EPA Diacorpus and its sections was derived using a program suite largely acknowledged in linguistics, WordSmith Tools 5 (Scott 2007).",1,largely,False,"",MICRO,MD,INT_ACTIONAL,Hedge,False,False,"","","",False,"","","","","","‘Largely’ hedges the evaluative description of the tool, affecting stance not content; thus MD (interactional hedge) with micro reach."
AP2,Method,"The vocabulary size of EPA Diacorpus and its sections was derived using a program suite largely acknowledged in linguistics, WordSmith Tools 5 (Scott 2007).",2,(Scott 2007),False,"",MICRO,MD,INT_ACTIVE,Evidential,False,False,"","","",False,"","","","","","Parenthetical citation provides evidential support and reader guidance without altering content; MD (interactive evidential), micro scope."
AP2,Method,"The vocabulary size of EPA Diacorpus and its sections was derived using a program suite largely acknowledged in linguistics, WordSmith Tools 5 (Scott 2007).",3,was derived using,False,"","",PROP,"","",False,False,"","","",False,"","","","","",Method predicate encodes procedural content; not metadiscourse.
AP2,Method,"Tokens simply denote all the running words of a spoken or written text and if a specific word form occurs more often, these occurrences are counted as well.",1,simply,False,"",MICRO,MD,INT_ACTIONAL,Attitude Marker,False,False,"","","",False,"","","","","","Non-reflexive, micro-scope stance adverb. Removal leaves the definition intact but loses evaluative framing, so Level 1 = MD. Function is interactional (stance), specifically an Attitude Marker signaling that the definition is simple."
AP2,Method,"Tokens simply denote all the running words of a spoken or written text and if a specific word form occurs more often, these occurrences are counted as well.",2,as well,False,"",MESO,MD,INT_ACTIVE,Transition,False,False,"","","",False,"","","","","","Non-reflexive, MESO-scope connective marking addition between propositions; Level 1 = MD, Interactive Transition at Level 3."
