sentence,context_before,context_after,section,thesis_code
"Also, an increasing urge for a conventional lexis can be stressed, quite a sort of technical jargon, which aims at making recognizable the genre of EPAs to its users.","with regard to the diachronic lexical and structural variation. In the following sections (10.1 to 10.3) a synthesis of the final results and a general interpretation of them will be provided. 10.1 Synthesis of results of lexical analysis While previous diachronic studies applied to media discourse argue for an increasingly more conversational and informal style (see Hundt / Mair 1999, Partington 2010, 2012, Westin 2002) or even for a shift towards a vague style of writing (Duguid 2010), corpus evidence shows that EPAs have kept a formal style, in view of the absence of contractions, the decrease of the intensifier so and the general increase of lexical variety over time, given by the values of STTR, which went from 42.35 in the 1950s to 44.8 in the 2000s ( +2.45 points).","Ambiguous expressions, such as, for instance, the phrase one-man show or the verb form exhibited were gradually discarded by EPA writers, who later preferred more technical and ‘safe’ expressions such as retrospective and displayed or on display, while the phrase visual arts gradually replaced fine arts. In this respect, our analysis confirmed Renouf’s (2007b: 23) statement that “not all words are equally destined for success”, as their fortunes may be inhibited by several factors and especially by ambiguity. Moreover, in her diachronic study on 20th century newspaper editorials, also Westin (2002) highlighted a trend towards a more precise lexical choice, so that we could argue for a common point in the evolution of EPAs and newspaper editorials: namely, for an increasing need for specificity, or",conclusion,conclusion_2
"Ambiguous expressions, such as, for instance, the phrase one-man show or the verb form exhibited were gradually discarded by EPA writers, who later preferred more technical and ‘safe’ expressions such as retrospective and displayed or on display, while the phrase visual arts gradually replaced fine arts.","provided. 10.1 Synthesis of results of lexical analysis While previous diachronic studies applied to media discourse argue for an increasingly more conversational and informal style (see Hundt / Mair 1999, Partington 2010, 2012, Westin 2002) or even for a shift towards a vague style of writing (Duguid 2010), corpus evidence shows that EPAs have kept a formal style, in view of the absence of contractions, the decrease of the intensifier so and the general increase of lexical variety over time, given by the values of STTR, which went from 42.35 in the 1950s to 44.8 in the 2000s ( +2.45 points). Also, an increasing urge for a conventional lexis can be stressed, quite a sort of technical jargon, which aims at making recognizable the genre of EPAs to its users.","In this respect, our analysis confirmed Renouf’s (2007b: 23) statement that “not all words are equally destined for success”, as their fortunes may be inhibited by several factors and especially by ambiguity. Moreover, in her diachronic study on 20th century newspaper editorials, also Westin (2002) highlighted a trend towards a more precise lexical choice, so that we could argue for a common point in the evolution of EPAs and newspaper editorials: namely, for an increasing need for specificity, or, to put it in a simple way, for calling things with their proper names. A striking element emerged from the analysis of lexical variation is that evaluative language has always characterised EPAs since their very first origin, which can be roughly dated to the post-war period, as pointed out",conclusion,conclusion_2
"In this respect, our analysis confirmed Renouf’s (2007b: 23) statement that “not all words are equally destined for success”, as their fortunes may be inhibited by several factors and especially by ambiguity.","2010), corpus evidence shows that EPAs have kept a formal style, in view of the absence of contractions, the decrease of the intensifier so and the general increase of lexical variety over time, given by the values of STTR, which went from 42.35 in the 1950s to 44.8 in the 2000s ( +2.45 points). Also, an increasing urge for a conventional lexis can be stressed, quite a sort of technical jargon, which aims at making recognizable the genre of EPAs to its users. Ambiguous expressions, such as, for instance, the phrase one-man show or the verb form exhibited were gradually discarded by EPA writers, who later preferred more technical and ‘safe’ expressions such as retrospective and displayed or on display, while the phrase visual arts gradually replaced fine arts.","Moreover, in her diachronic study on 20th century newspaper editorials, also Westin (2002) highlighted a trend towards a more precise lexical choice, so that we could argue for a common point in the evolution of EPAs and newspaper editorials: namely, for an increasing need for specificity, or, to put it in a simple way, for calling things with their proper names. A striking element emerged from the analysis of lexical variation is that evaluative language has always characterised EPAs since their very first origin, which can be roughly dated to the post-war period, as pointed out in our historical excursus on the genre in chapter 1. EPAs issued in the 1950s decade, which is the first period covered by the EPA Diacorpus, already provide evidence of evaluative adjectives and phrases typical of the genre",conclusion,conclusion_2
"Moreover, in her diachronic study on 20th century newspaper editorials, also Westin (2002) highlighted a trend towards a more precise lexical choice, so that we could argue for a common point in the evolution of EPAs and newspaper editorials: namely, for an increasing need for specificity, or, to put it in a simple way, for calling things with their proper names.","values of STTR, which went from 42.35 in the 1950s to 44.8 in the 2000s ( +2.45 points). Also, an increasing urge for a conventional lexis can be stressed, quite a sort of technical jargon, which aims at making recognizable the genre of EPAs to its users. Ambiguous expressions, such as, for instance, the phrase one-man show or the verb form exhibited were gradually discarded by EPA writers, who later preferred more technical and ‘safe’ expressions such as retrospective and displayed or on display, while the phrase visual arts gradually replaced fine arts. In this respect, our analysis confirmed Renouf’s (2007b: 23) statement that “not all words are equally destined for success”, as their fortunes may be inhibited by several factors and especially by ambiguity.","A striking element emerged from the analysis of lexical variation is that evaluative language has always characterised EPAs since their very first origin, which can be roughly dated to the post-war period, as pointed out in our historical excursus on the genre in chapter 1. EPAs issued in the 1950s decade, which is the first period covered by the EPA Diacorpus, already provide evidence of evaluative adjectives and phrases typical of the genre in its contemporary shape (Lazzeretti/Bondi 2012). More stunningly, some evaluative features are not only present already in the 1950s, but are also stable in their frequencies across the decades: this is the case of evaluative adjectives such as great, known, first and of related phrase for the first time, used to stress the aspect of quality and novelty of the exhibition. Of",conclusion,conclusion_2
"A striking element emerged from the analysis of lexical variation is that evaluative language has always characterised EPAs since their very first origin, which can be roughly dated to the post-war period, as pointed out in our historical excursus on the genre in chapter 1.","exhibited were gradually discarded by EPA writers, who later preferred more technical and ‘safe’ expressions such as retrospective and displayed or on display, while the phrase visual arts gradually replaced fine arts. In this respect, our analysis confirmed Renouf’s (2007b: 23) statement that “not all words are equally destined for success”, as their fortunes may be inhibited by several factors and especially by ambiguity. Moreover, in her diachronic study on 20th century newspaper editorials, also Westin (2002) highlighted a trend towards a more precise lexical choice, so that we could argue for a common point in the evolution of EPAs and newspaper editorials: namely, for an increasing need for specificity, or, to put it in a simple way, for calling things with their proper names.","EPAs issued in the 1950s decade, which is the first period covered by the EPA Diacorpus, already provide evidence of evaluative adjectives and phrases typical of the genre in its contemporary shape (Lazzeretti/Bondi 2012). More stunningly, some evaluative features are not only present already in the 1950s, but are also stable in their frequencies across the decades: this is the case of evaluative adjectives such as great, known, first and of related phrase for the first time, used to stress the aspect of quality and novelty of the exhibition. Of course, EPA writers have become more conscious of the potential conveyed by the language of evaluation over time and have exploited it more creatively in the 1990s and 2000s, while evaluative patterns used in the 1950s seem to be more predictable and repetitive. However,",conclusion,conclusion_2
"EPAs issued in the 1950s decade, which is the first period covered by the EPA Diacorpus, already provide evidence of evaluative adjectives and phrases typical of the genre in its contemporary shape (Lazzeretti/Bondi 2012).",": 23) statement that “not all words are equally destined for success”, as their fortunes may be inhibited by several factors and especially by ambiguity. Moreover, in her diachronic study on 20th century newspaper editorials, also Westin (2002) highlighted a trend towards a more precise lexical choice, so that we could argue for a common point in the evolution of EPAs and newspaper editorials: namely, for an increasing need for specificity, or, to put it in a simple way, for calling things with their proper names. A striking element emerged from the analysis of lexical variation is that evaluative language has always characterised EPAs since their very first origin, which can be roughly dated to the post-war period, as pointed out in our historical excursus on the genre in chapter 1.","More stunningly, some evaluative features are not only present already in the 1950s, but are also stable in their frequencies across the decades: this is the case of evaluative adjectives such as great, known, first and of related phrase for the first time, used to stress the aspect of quality and novelty of the exhibition. Of course, EPA writers have become more conscious of the potential conveyed by the language of evaluation over time and have exploited it more creatively in the 1990s and 2000s, while evaluative patterns used in the 1950s seem to be more predictable and repetitive. However, this result was quite unexpected and leads us to conclude that EPAs were born with evaluation in their DNA. It also highlights the importance of adopting an historical perspective in genre analysis, because, before carrying out",conclusion,conclusion_2
"More stunningly, some evaluative features are not only present already in the 1950s, but are also stable in their frequencies across the decades: this is the case of evaluative adjectives such as great, known, first and of related phrase for the first time, used to stress the aspect of quality and novelty of the exhibition.","newspaper editorials, also Westin (2002) highlighted a trend towards a more precise lexical choice, so that we could argue for a common point in the evolution of EPAs and newspaper editorials: namely, for an increasing need for specificity, or, to put it in a simple way, for calling things with their proper names. A striking element emerged from the analysis of lexical variation is that evaluative language has always characterised EPAs since their very first origin, which can be roughly dated to the post-war period, as pointed out in our historical excursus on the genre in chapter 1. EPAs issued in the 1950s decade, which is the first period covered by the EPA Diacorpus, already provide evidence of evaluative adjectives and phrases typical of the genre in its contemporary shape (Lazzeretti/Bondi 2012).","Of course, EPA writers have become more conscious of the potential conveyed by the language of evaluation over time and have exploited it more creatively in the 1990s and 2000s, while evaluative patterns used in the 1950s seem to be more predictable and repetitive. However, this result was quite unexpected and leads us to conclude that EPAs were born with evaluation in their DNA. It also highlights the importance of adopting an historical perspective in genre analysis, because, before carrying out a diachronic analysis, one could have easily presumed that the use of evaluative language of EPAs was a consequence of contemporary practices, increasing promotional purposes and marketing strategies. Our analysis highlighted a different, more complex scenario, which encourages further research in this direction. Along with evaluation, another consistent feature of EPAs is that of description",conclusion,conclusion_2
"Of course, EPA writers have become more conscious of the potential conveyed by the language of evaluation over time and have exploited it more creatively in the 1990s and 2000s, while evaluative patterns used in the 1950s seem to be more predictable and repetitive.",". A striking element emerged from the analysis of lexical variation is that evaluative language has always characterised EPAs since their very first origin, which can be roughly dated to the post-war period, as pointed out in our historical excursus on the genre in chapter 1. EPAs issued in the 1950s decade, which is the first period covered by the EPA Diacorpus, already provide evidence of evaluative adjectives and phrases typical of the genre in its contemporary shape (Lazzeretti/Bondi 2012). More stunningly, some evaluative features are not only present already in the 1950s, but are also stable in their frequencies across the decades: this is the case of evaluative adjectives such as great, known, first and of related phrase for the first time, used to stress the aspect of quality and novelty of the exhibition.","However, this result was quite unexpected and leads us to conclude that EPAs were born with evaluation in their DNA. It also highlights the importance of adopting an historical perspective in genre analysis, because, before carrying out a diachronic analysis, one could have easily presumed that the use of evaluative language of EPAs was a consequence of contemporary practices, increasing promotional purposes and marketing strategies. Our analysis highlighted a different, more complex scenario, which encourages further research in this direction. Along with evaluation, another consistent feature of EPAs is that of description, confirmed by the stable frequency of the determiner which, introducing a specification of what the writer wishes to explain, evaluate or describe more in detail, and the auxiliary verb form are, often used to describe art works currently on display. Nonetheless",conclusion,conclusion_2
"However, this result was quite unexpected and leads us to conclude that EPAs were born with evaluation in their DNA.","1. EPAs issued in the 1950s decade, which is the first period covered by the EPA Diacorpus, already provide evidence of evaluative adjectives and phrases typical of the genre in its contemporary shape (Lazzeretti/Bondi 2012). More stunningly, some evaluative features are not only present already in the 1950s, but are also stable in their frequencies across the decades: this is the case of evaluative adjectives such as great, known, first and of related phrase for the first time, used to stress the aspect of quality and novelty of the exhibition. Of course, EPA writers have become more conscious of the potential conveyed by the language of evaluation over time and have exploited it more creatively in the 1990s and 2000s, while evaluative patterns used in the 1950s seem to be more predictable and repetitive.","It also highlights the importance of adopting an historical perspective in genre analysis, because, before carrying out a diachronic analysis, one could have easily presumed that the use of evaluative language of EPAs was a consequence of contemporary practices, increasing promotional purposes and marketing strategies. Our analysis highlighted a different, more complex scenario, which encourages further research in this direction. Along with evaluation, another consistent feature of EPAs is that of description, confirmed by the stable frequency of the determiner which, introducing a specification of what the writer wishes to explain, evaluate or describe more in detail, and the auxiliary verb form are, often used to describe art works currently on display. Nonetheless, the decrease of descriptive verbs implying a sort of mediation between the writer and the reader – shown and shows –",conclusion,conclusion_2
"It also highlights the importance of adopting an historical perspective in genre analysis, because, before carrying out a diachronic analysis, one could have easily presumed that the use of evaluative language of EPAs was a consequence of contemporary practices, increasing promotional purposes and marketing strategies.","evidence of evaluative adjectives and phrases typical of the genre in its contemporary shape (Lazzeretti/Bondi 2012). More stunningly, some evaluative features are not only present already in the 1950s, but are also stable in their frequencies across the decades: this is the case of evaluative adjectives such as great, known, first and of related phrase for the first time, used to stress the aspect of quality and novelty of the exhibition. Of course, EPA writers have become more conscious of the potential conveyed by the language of evaluation over time and have exploited it more creatively in the 1990s and 2000s, while evaluative patterns used in the 1950s seem to be more predictable and repetitive. However, this result was quite unexpected and leads us to conclude that EPAs were born with evaluation in their DNA.","Our analysis highlighted a different, more complex scenario, which encourages further research in this direction. Along with evaluation, another consistent feature of EPAs is that of description, confirmed by the stable frequency of the determiner which, introducing a specification of what the writer wishes to explain, evaluate or describe more in detail, and the auxiliary verb form are, often used to describe art works currently on display. Nonetheless, the decrease of descriptive verbs implying a sort of mediation between the writer and the reader – shown and shows – let us hypothesize an increasing preference for a more vivid and straightforward style of description: in other words, instead of describing what a picture shows, contemporary EPA writers prefer to tell directly how it looks. The analysis of diachronic lexical variation has also revealed some innovations",conclusion,conclusion_2
"Our analysis highlighted a different, more complex scenario, which encourages further research in this direction.","evaluative adjectives such as great, known, first and of related phrase for the first time, used to stress the aspect of quality and novelty of the exhibition. Of course, EPA writers have become more conscious of the potential conveyed by the language of evaluation over time and have exploited it more creatively in the 1990s and 2000s, while evaluative patterns used in the 1950s seem to be more predictable and repetitive. However, this result was quite unexpected and leads us to conclude that EPAs were born with evaluation in their DNA. It also highlights the importance of adopting an historical perspective in genre analysis, because, before carrying out a diachronic analysis, one could have easily presumed that the use of evaluative language of EPAs was a consequence of contemporary practices, increasing promotional purposes and marketing strategies.","Along with evaluation, another consistent feature of EPAs is that of description, confirmed by the stable frequency of the determiner which, introducing a specification of what the writer wishes to explain, evaluate or describe more in detail, and the auxiliary verb form are, often used to describe art works currently on display. Nonetheless, the decrease of descriptive verbs implying a sort of mediation between the writer and the reader – shown and shows – let us hypothesize an increasing preference for a more vivid and straightforward style of description: in other words, instead of describing what a picture shows, contemporary EPA writers prefer to tell directly how it looks. The analysis of diachronic lexical variation has also revealed some innovations in the way exhibitions are set up and artists are selected by museum professionals. With regard to",conclusion,conclusion_2
"Along with evaluation, another consistent feature of EPAs is that of description, confirmed by the stable frequency of the determiner which, introducing a specification of what the writer wishes to explain, evaluate or describe more in detail, and the auxiliary verb form are, often used to describe art works currently on display.","used to stress the aspect of quality and novelty of the exhibition. Of course, EPA writers have become more conscious of the potential conveyed by the language of evaluation over time and have exploited it more creatively in the 1990s and 2000s, while evaluative patterns used in the 1950s seem to be more predictable and repetitive. However, this result was quite unexpected and leads us to conclude that EPAs were born with evaluation in their DNA. It also highlights the importance of adopting an historical perspective in genre analysis, because, before carrying out a diachronic analysis, one could have easily presumed that the use of evaluative language of EPAs was a consequence of contemporary practices, increasing promotional purposes and marketing strategies. Our analysis highlighted a different, more complex scenario, which encourages further research in this direction.","Nonetheless, the decrease of descriptive verbs implying a sort of mediation between the writer and the reader – shown and shows – let us hypothesize an increasing preference for a more vivid and straightforward style of description: in other words, instead of describing what a picture shows, contemporary EPA writers prefer to tell directly how it looks. The analysis of diachronic lexical variation has also revealed some innovations in the way exhibitions are set up and artists are selected by museum professionals. With regard to exhibition design, corpus evidence suggests a trend towards comprehensiveness rather than selectiveness. Large exhibits are preferred to narrowly focused events, while increasing care has been taken in evaluating and choosing artists, preferably avoiding the risk to present new and emerging names. In addition, the taste of visitors changes fast and museums have to",conclusion,conclusion_2
