"thesis_code","section","sentence","expression_number","expression","is_reflexive","reflexivity_type","reflexivity_reasoning","scope_classification","scope_reach","scope_reasoning","L1_classification","L1_reasoning","L2_classification","L2_reasoning","L3_classification","L3_borderline","L3_reasoning","L1_borderline_is","L1_borderline_dominant","L1_borderline_secondary","L1_borderline_why","L2_borderline_is","L2_borderline_primary","L2_borderline_secondary","L2_borderline_tertiary","L2_borderline_strength","L2_borderline_why","comprehensive_justification"
"AP1","Introduction","Hasan (2001: 8) maintains that context (of situation) is important in two ways, first in shaping language as a system and then highlighting language as a process.","2","first","True","text","Signals textual sequencing of listed items in the discourse.","MICRO","Orders the first of two listed ways within the immediate proposition.","Local sequencing within a single sentence-level list.","MD","Guides textual organization without adding propositional content.","INT_ACTIVE","Organizes discourse structure (list sequencing).","Frame Markers","False","Functions as a sequencer (Frame Marker) introducing the first listed item.","False","","","","False","","","","","","Local sequencer marking item 1 in a two-part list; micro interactive frame marker."
"AP1","Introduction","Hasan (2001: 8) maintains that context (of situation) is important in two ways, first in shaping language as a system and then highlighting language as a process.","3","then","True","text","Marks the next point in the text’s sequence of listed items.","MICRO","Orders the second listed way within the same proposition.","Local sequencing only; no broader organizational reach.","MD","Organizes text flow rather than adding content.","INT_ACTIVE","Guides readers through the internal structure of the list.","Frame Markers","False","Sequencer indicating the second item in a two-part structure.","False","","","","False","","","","","","Micro-level sequencer marking item 2; interactive frame marker within the reported proposition."
"AP1","Introduction","It is possible to establish a sub-genre within the Radio Address.","1","It is possible to","False","","No reference to the text, discourse act, reader, or author; it modulates the epistemic status of the following proposition.","MICRO","Modulates commitment to the single proposition that a sub-genre can be established; does not organize surrounding segments.","As a hedge, it operates locally on its host clause rather than across multiple propositions.","MD","Removal test shows only epistemic stance is lost while the core content remains. In this Intro context, 'possible' functions as stance-marking rather than contributing factual feasibility.","INT_ACTIONAL","Expresses authorial epistemic stance toward the claim rather than organizing discourse.","Hedge","False","Epistemic possibility construction that softens commitment; a conventional hedge in Introductions.","False","","","","False","","","","","","Impersonal possibility construction functions as an Interactional hedge with micro scope, softening the claim about establishing sub-genres; not reflexive and not genuinely Level 1 borderline in this context."
"AP1","Introduction","Next, the main theoretical concepts of the study will be mapped out, from genre, cline of instantiation to context of situation.","1","Next","True","act","Signals the next discourse move in the ongoing outline (discourse-act reflexive); refers to discourse sequencing rather than world content.","MACRO","Stages the third item in the chapter-level outline (alongside 'Fourth' and 'Finally'), guiding readers across major sections.","Operates over major Introduction segments (genre-conventional roadmap). Sequencer affects organization across multiple upcoming propositions (macro).","MD","Function is organizational; removal leaves content intact but loses guidance. Reflexivity (discourse-act) suffices for MD.","INT_ACTIVE","Guides text structure by sequencing stages; not stance or engagement.","Frame Marker","False","Prototypical sequencing frame marker in an outline ('Next', 'Fourth', 'Finally').","False","","","","False","","","","","","‘Next’ is a discourse-act reflexive sequencer organizing the chapter roadmap. It has macro reach, functions interactively as a Frame Marker, and stands as its own MD unit."
"AP1","Introduction","Next, the main theoretical concepts of the study will be mapped out, from genre, cline of instantiation to context of situation.","2","the main theoretical concepts of the study will be mapped out","True","act","Announces the discourse act of mapping within this study (discourse-act reflexive), with text reference 'of the study' indicating the text as object.","MACRO","Announces a major section presenting the theoretical framework spanning multiple paragraphs.","Frames and labels a chapter-level segment (macro). Stopping rule isolates organizational operator from operand content.","MD","Reflexive announcement of a textual action; removing it drops organizational guidance while content remains.","INT_ACTIVE","Organizes and labels the upcoming section; not stance/engagement.","Frame Marker","False","Stage announcement and labeling (Frame Marker) typical in Introduction roadmaps.","False","","","","False","","","","","","Clause frames a major section (macro) announcing the discourse act for this study. Interactive Frame Marker; boundary stops before the content list introduced by 'from'."
"AP1","Introduction","Scacci (2011) states, ‘genres exist in relation to certain situational constraints, the weekly address is unique in its routine response to the week’s events packaged for both public and press consumption’.","1","Scacci (2011) states","False","","References an external source/author, not the current text, discourse act, reader, or author.","MICRO","Attributes the immediately following quoted proposition to Scacci (2011); impact limited to this local claim.","By Rule 2 (propositional complements) and Rule 6 (include functional markers if obligatory), the reporting frame is the operator and the quoted definition is the operand; scope is local to this proposition.","MD","Guides readers by attributing the source of the proposition; content of the claim remains unchanged if removed.","INT_ACTIVE","Organizes information flow via intertextual attribution rather than expressing stance or engagement.","Evidentials","False","Explicit citation + reporting verb attributing a proposition to an external source is prototypical Evidential.","False","","","","False","","","","","","The reporting frame attributes the following quoted definition to Scacci (2011). It is non-reflexive, has local (MICRO) reach, and functions as Interactive metadiscourse of the Evidential type."
"AP1","Introduction","The present study aims to fill this gap within studies of this particular genre.","1","The present study aims","True","text","'The present study' explicitly refers to the text itself (text-reflexive). The predicate 'aims' also reflects the discourse act of stating purpose (act-reflexive), but the clearest instantiation is text-reflex.","MACRO","Frames the global purpose of the thesis (responding to the identified gap) and orients the reader to the study’s raison d’être across the document.","In Introduction genre, purpose statements organize the whole study; their functional reach is thesis-wide (macro) rather than local.","MD","Reflexivity to the text ('the present study') is sufficient for MD; removing the expression deletes organizing guidance but not factual content.","INT_ACTIVE","It organizes discourse by announcing a major move (the study’s purpose), guiding the reader’s orientation to the structure and rationale.","Frame Marker","False","Purpose-announcing frame in an Introduction is a prototypical Frame Marker. With the corrected boundary, no additional MD type is performed by this unit.","False","","","","False","","","","","","Text-reflexive, sentence-initial purpose statement in an Introduction that frames the entire thesis. With operator correctly delimited as 'The present study aims', the unit functions as an Interactive Frame Marker with macro reach."
"AP1","Introduction","This introductory chapter will first explain the functions of language, politics and discourse.","1","This introductory chapter","True","text","Refers to the current chapter as a text unit, explicitly self-referencing the document.","MACRO","Frames and labels the entire chapter as the organizational unit under discussion.","Text-reflexive reference to a major structural unit (the chapter) has chapter-level reach in an introduction roadmap.","MD","Strong text-reflexivity is sufficient for MD; it organizes the discourse by labeling the current textual unit.","INT_ACTIVE","It organizes and frames the text rather than expressing stance toward content.","Frame Marker","False","Labels a discourse stage/unit ('this chapter') in a roadmap, a prototypical framing function.","False","","","","False","","","","","","Text-reflexive NP labels the chapter as a discourse unit, framing the macro-organization in a roadmap context."
"AP1","Introduction","This introductory chapter will first explain the functions of language, politics and discourse.","2","will first explain","True","act","Names and sequences the discourse act to be performed (explaining), i.e., discourse-act reflexivity.","MACRO","Announces the first stage of a chapter-level sequence (followed by 'Secondly', 'Next').","Sequencer 'first' signals chapter-level staging; complements are excluded as propositional operands.","MD","Discourse-act reflexivity organizes the discourse and does not add world-content; removal leaves content intact.","INT_ACTIVE","Guides textual organization by sequencing stages for the reader.","Frame Marker","False","Prototypical chapter roadmap staging: 'first' + discourse act announcing the structure.","False","","","","False","","","","","","Predicate announces and sequences the chapter’s first stage; excludes the propositional complement, ensuring a pure MD operator."
"AP1","Introduction","This study takes the standpoint that genre is ‘a staged, goal oriented, purposeful activity in which speakers engage as members of our culture’.","1","This study takes the standpoint that","True","text","'This study' refers to the text itself (text-reflex). The predicate 'takes the standpoint' also reflects the ongoing discourse act (act-reflex), but text-reflex is primary.","MACRO","Frames the theoretical stance on 'genre' underpinning the entire thesis; guides interpretation across chapters.","In an Introduction, announcing the study’s standpoint functions to set the global framework; reference to 'This study' targets the whole document.","MD","Reflexive reference to the text/discourse act; removal preserves content while losing organizational framing.","INT_ACTIVE","Dominant function is organizational: announcing the study’s framework and guiding readers’ processing of subsequent content.","Frame Marker","True","Primary = Frame Marker (announces theoretical framing at macro-level). Secondary = Self-Mention (text/personified authorial presence via 'This study'). Tertiary = Attitude Marker (stance commitment in 'takes the standpoint'), not Evidential (no external source attribution).","False","","","","True","Frame Marker (Interactive)","Self-Mention (Interactional)","Attitude Marker (Interactional)","PRIMARY strongly dominant; SECONDARY moderate; TERTIARY weak","Form and context chiefly organize the discourse (macro framing). 'This study' contributes author/text presence; 'takes the standpoint' signals stance commitment.","Expression is a reflexive, sentence-initial organizer that frames the study’s theoretical lens for the whole thesis. It is clearly MD (reflex + removal test), Interactive at L2, and a Frame Marker at L3 with Level 2 borderline features (Self-Mention; weak Attitude)."
"AP1","Introduction","This thesis focuses on ‘text as an instrument’ and aims to reveal the generic structure of written-to-be-spoken language within the discourse of politics.","1","This thesis focuses on","True","text","'This thesis' explicitly self-refers to the document; text-reflexivity is present.","MACRO","Announces the global research focus of the entire thesis, orienting readers to the study’s scope.","Text-reflexive framing in an Introduction conventionally signals document-wide orientation.","MD","Reflexivity suffices for MD; it organizes how readers construe the document rather than adding domain content.","INT_ACTIVE","Guides textual organization by announcing focus; not stance toward a proposition.","Frame Marker","False","Labels a major element of the discourse (research focus) and frames what follows.","False","","","","False","","","","","","Text-reflexive, sentence-initial frame marker announcing the thesis’s focus; removal preserves content but loses document-level framing; macro-scope Interactive MD (Frame Marker)."
"AP1","Introduction","This thesis focuses on ‘text as an instrument’ and aims to reveal the generic structure of written-to-be-spoken language within the discourse of politics.","2","aims to","True","text","Implicit subject 'This thesis' makes this a text-reflexive statement of document purpose.","MACRO","States the overarching aim governing the whole thesis.","In Intro, announcing aims frames the entire document’s objectives; functional reach is document-wide.","MD","Text-reflexive declaration of document aim; removal test shows organizational (not content) function.","INT_ACTIVE","Organizes reader expectations by stating discourse goals, not authorial stance toward a claim.","Frame Marker","False","Conventional signalling of research aim/purpose that frames the discourse structure.","False","","","","False","","","","","","Text-reflexive operator 'aims to' frames the document’s purpose; correct boundary stops before the propositional infinitival predicate; macro-scope Interactive MD (Frame Marker)."
"AP1","Introduction","Ultimately, the study demonstrates that the generic structures of these addresses do vary according to context of situation.","1","Ultimately","False","","Does not refer to the text, discourse act, or participants; signals a concluding stage.","MACRO","Marks the culmination of the introductory reasoning and flags the subsequent claim as the global finding.","In an Introduction, 'Ultimately' functions as a stage marker signaling a top-level conclusion; genre-conventional macro guidance.","MD","Removal leaves propositional content unchanged but removes discourse framing; thus functions metadiscursively.","INT_ACTIVE","Guides organization by signaling the discourse stage (conclusion).","Frame Marker","False","Conclusive/summary adverb used to announce a stage in the text.","False","","","","False","","","","","","Ultimately frames the following claim as the culminating conclusion of the Introduction (macro), organizing reader expectations without altering content; a Frame Marker (Interactive)."
"AP1","Introduction","Ultimately, the study demonstrates that the generic structures of these addresses do vary according to context of situation.","2","the study demonstrates that","True","text","'the study' refers to the current text (text-reflexive); 'demonstrates' names the discourse act of showing (discourse-act aspect). Reflexivity suffices for MD.","MACRO","Announces the main/global finding attributed to the entire study.","In Introduction conclusions, this move presents the thesis’s global finding, guiding the reader at text-level.","MD","Reflexive reference to the text/discourse act; removal leaves content but strips organizational/attributional framing.","INT_ACTIVE","Primarily organizes the discourse by announcing the study’s conclusion.","Frame Marker","True","PRIMARY: Frame Marker (announces a major stage/finding at macro level). SECONDARY: Booster (verb 'demonstrates' conveys high certainty). Primary strongly dominant due to scope and organizational role; booster is moderate.","False","","","","True","Frame Marker","Booster","","PRIMARY strongly dominant; SECONDARY moderate","Organizational framing is the dominant function at macro level; 'demonstrates' simultaneously boosts certainty.","Reflexive announcing move with macro reach that frames the thesis’s main conclusion (Frame Marker primary) while boosting commitment via 'demonstrates' (Booster secondary)."
"AP1","Introduction","Ultimately, the study demonstrates that the generic structures of these addresses do vary according to context of situation.","3","do","False","","No reference to text/act/participants; functions to intensify commitment.","MICRO","Modulates the force of the specific proposition within the that-clause only.","Affects only the immediate predicate, not larger discourse units.","MD","Strengthens authorial commitment without adding propositional content.","INT_ACTIONAL","Expresses stance toward the proposition.","Booster","False","Emphatic 'do' is a canonical booster signaling high certainty.","False","","","","False","","","","","","Emphatic auxiliary boosts the certainty of the specific claim only (micro), an Interactional Booster."
"AP2","Method","A first bunch of statistics extracted from the EPA Diacorpus is provided by the following table (tab.7.1).","1","the following table (tab.7.1)","True","text","Explicit reference to a textual element (Table 7.1) using deictic 'following' and an internal label.","MICRO","Locally guides the reader to the adjacent table containing the data mentioned in the clause.","Endophoric reference creates a local cross-reference; per stopping rules R3/R4, only the reflexive NP realizes MD.","MD","Reflexivity is sufficient for MD: the expression points to a part of the text.","INT_ACTIVE","Guides navigation/organization of the text rather than expressing stance.","Endophoric Marker","False","Prototypical internal cross-reference to a labeled figure/table.","False","","","","False","","","","","","Text-reflexive NP directs readers to Table 7.1. Removing it loses only navigational guidance, not the data claim. Hence MD → Interactive → Endophoric Marker with micro scope."
"AP2","Method","A first bunch of statistics extracted from the EPA Diacorpus is provided by the following table (tab.7.1).","2","A first bunch of statistics extracted from the EPA Diacorpus","False","","Refers to research data (statistics) and their source, not to the text, discourse act, or participants.","","","","PROP","Removal test shows loss of content about the dataset; no reflexive function. The ordinal 'first' classifies the data set rather than structuring the discourse.","","","","False","","False","","","","False","","","","","","Subject NP encodes what data are presented; it does not guide the reader or reference the text, so it is propositional with micro scope."
"AP2","Method","A high TTR indicates a large amount of lexical variation, while a low TTR indicates a limited lexical variation.","1","while","False","","Signals a contrastive relation between two propositions; does not refer to the text, discourse act, reader, or author.","MICRO","Links and contrasts the two clauses within the same sentence (high TTR vs. low TTR interpretations).","Function is local clause-linking within a single sentence; no section- or multi-sentence organizing role.","MD","Removal preserves content but loses organizational relation; classic discourse-organizing function despite non-reflexivity.","INT_ACTIVE","Organizes propositional content by marking a contrast between two parallel claims.","Transition","False","Prototypical contrastive transition use of 'while' connecting parallel clauses.","False","","","","False","","","","","","‘while’ is a non-reflexive connective that organizes contrast between two clauses, affecting only the local sentence-level relation. Removal leaves factual content but loses the contrastive link. Therefore, it is metadiscourse (Interactive Transition) with micro scope."
"AP2","Method","But while American EPA writers are wordier, their British colleagues seem to employ longer sentences in comparison (+3.2 words).","1","But","False","","Signals contrast between current and prior propositions; does not refer to the text, act, or participants.","MESO","Links the current comparative observation to the preceding statement, marking an inter-sentential contrast within the local discussion of corpus measures.","Functions as a transition across sentence boundary, organizing related findings; not section-level (macro) and more than intra-clausal (micro).","MD","Removal leaves propositional content intact but removes guidance on how to relate it to the prior claim (contrast).","INT_ACTIVE","Organizes discourse by marking a contrastive relation between segments.","Transition","False","Prototypical adversative transition linking current sentence to prior discourse.","False","","","","False","","","","","","Sentence-initial 'But' marks an inter-sentential contrast, guiding the reader across findings without adding content."
"AP2","Method","But while American EPA writers are wordier, their British colleagues seem to employ longer sentences in comparison (+3.2 words).","2","while","False","","Signals an internal concessive contrast; does not refer to text/act/participants.","MICRO","Relates two clauses within the same sentence (American wordiness vs. British sentence length).","Operates intra-sententially to link two clauses; does not extend beyond the sentence.","MD","Removes no content; provides relational guidance within the sentence.","INT_ACTIVE","Organizes clause relation (concession/contrast).","Transition","False","Functions as a concessive transition linking subordinate and main clauses.","False","","","","False","","","","","","'While' signals an internal concessive relation between two clauses, guiding interpretation without adding content."
"AP2","Method","But while American EPA writers are wordier, their British colleagues seem to employ longer sentences in comparison (+3.2 words).","3","seem to","False","","Modulates commitment to the proposition; no reference to text/act/participants.","MICRO","Limits writer commitment for the specific claim about British sentence length.","Affects only the immediate proposition.","MD","Alters stance toward the claim rather than the claim’s content.","INT_ACTIONAL","Expresses epistemic stance (caution).","Hedge","False","Canonical lexical hedge moderating authorial commitment.","False","","","","False","","","","","","'Seem to' hedges the assertion about sentence length, marking epistemic caution without altering content."
"AP2","Method","Considering the EPA Diacorpus in its whole extension, table 7.1 highlights a difference in terms of length between American and British EPAs, covering respectively 60% (180,375 tokens) and 40% (118,763 tokens) of the overall tokens, despite texts are almost equally distributed across both areas (187 American and 191 British EPAs).","1","Considering","True","act","Signals the discourse act of taking into account a perspective; frames how the following data should be interpreted (discourse-act reflexive).","MESO","Frames the scope/perspective for the ensuing statistical comparison within this segment (the corpus-level look at American vs. British EPAs).","Functions as a scoping frame for multiple related propositions in the sentence/paragraph rather than just a single clause (not MICRO) and not the whole section (not MACRO).","MD","Reflexive with respect to the discourse act; removing it leaves content intact but removes guidance on perspective.","INT_ACTIVE","Organizes interpretation and sets scope for the data presentation (structural guidance, not stance/engagement).","Frame Marker","False","Prototypical scoping/frame device introducing how to read the following material.","False","","","","False","","","","","","Discourse-act reflexive scoping operator. Excluding the NP complement (operand) per stopping rules leaves an interpretive frame that organizes the subsequent statistics across the sentence/paragraph."
"AP2","Method","Considering the EPA Diacorpus in its whole extension, table 7.1 highlights a difference in terms of length between American and British EPAs, covering respectively 60% (180,375 tokens) and 40% (118,763 tokens) of the overall tokens, despite texts are almost equally distributed across both areas (187 American and 191 British EPAs).","2","table 7.1","True","text","Explicit reference to a textual object within the document (endophoric).",MICRO,"Directs attention to a specific internal resource supporting the immediate claim.","Guides to one text element for the current proposition.","MD","Text-reflexivity ensures MD; removing it loses navigation but not the data claim.","INT_ACTIVE","Assists navigation/organization, not stance or engagement.","Endophoric Marker","False","Standard internal cross-reference to a table.","False","","","","False","","","","","","Clear endophoric pointer to a table. Operator is the text-reference NP; predicate content remains propositional."
"AP2","Method","Considering the EPA Diacorpus in its whole extension, table 7.1 highlights a difference in terms of length between American and British EPAs, covering respectively 60% (180,375 tokens) and 40% (118,763 tokens) of the overall tokens, despite texts are almost equally distributed across both areas (187 American and 191 British EPAs).","3","despite","False","","Signals a logical relation between propositions; no reference to text, act, or participants.","MICRO","Connects two clauses within the sentence (unequal token share vs. near-equal distribution of texts).","Operates locally across two propositions in one sentence.","MD","Removing it leaves content but obscures the intended concessive relationship.","INT_ACTIVE","Organizes logical relations between propositions (structural guidance).","Transition","False","Canonical concessive transition linking contrasting information.","False","","","","False","","","","","","Non-reflexive but clearly metadiscursive connective signposting concession within the sentence."
"AP2","Method","Eventually, the mean sentence length of the corpus was calculated, which is 21.04","1","Eventually","False","","Signals temporal/organizational sequencing of methodological steps; does not refer to text, act, reader, or author.","MESO","Connects this methodological step (sentence length calculation) to prior steps in the Methods sequence across adjacent sentences.","Functions across sentence boundary to relate the current step to preceding steps; broader than a single proposition but not organizing the entire section.","MD","Removal leaves truth-conditional content intact while degrading discourse organization (sequencing).","INT_ACTIVE","Organizes the flow of procedural information and guides the reader through the sequence.","Frame Marker","False","Hyland: sequencing items (first, next, finally/eventually) are Frame Markers signaling stages. Here it marks the final procedural stage in the Methods sequence (not a logical relation like contrast/cause typical of Transitions).","False","","","","False","","","","","","‘Eventually’ is a sentence-initial sequencer guiding readers through the final step of the method. Removing it preserves content but removes the staging cue. Interactive MD at MESO scope, specifically a Frame Marker (sequencing/stage-labeling)."
"AP2","Method","Exploring the decades, at least two periods seem to be particularly relevant in terms of change and worth of further investigation: between the 1960s and the 1970s, when the value of STTR shrinks down, quiet unexpectedly, from 43.72 to 41.5, and between the 1970s and the 1980s, when, on the contrary, a rapid growth is evidenced, from 41.5 and 44.3.","1","Exploring the decades","True","act","Announces the analytical act being performed (examining decades), i.e., a discourse-act reference to the writer’s ongoing analysis.","MESO","Frames the local analytical move that identifies and discusses two decade spans within the current analytical segment.","It orients readers to a focused analytical stage within this segment rather than the whole section (not macro) or a single proposition only (not micro).","MD","Discourse-act reflexivity is sufficient for MD; removal leaves content intact but removes organizational framing.","INT_ACTIVE","Organizes and frames upcoming content, guiding the reader through the analysis.","Frame Marker","False","Stage-setting/advance organizer introducing the analytical exploration.","False","","","","False","","","","","","Clear discourse-act reflexive frame marker at sentence onset guiding a local analytical step (meso), not altering factual content."
"AP2","Method","Exploring the decades, at least two periods seem to be particularly relevant in terms of change and worth of further investigation: between the 1960s and the 1970s, when the value of STTR shrinks down, quiet unexpectedly, from 43.72 to 41.5, and between the 1970s and the 1980s, when, on the contrary, a rapid growth is evidenced, from 41.5 and 44.3.","2","seem","False","","Expresses stance toward a claim; it does not refer to the text, discourse act, or participants.","MICRO","Modulates commitment to the specific claim about the relevance of two periods.","Typical hedge scope limited to the proposition it modifies.","MD","Removal preserves content but removes epistemic stance; thus it guides stance, not content.","INT_ACTIONAL","Encodes writer’s epistemic stance (tentativeness) toward the proposition.","Hedge","False","Prototypical hedge via epistemic verb.","False","","","","False","","","","","","Non-reflexive interactional MD: a hedge operating locally on the claim, with minimal operator span ('seem') established by stopping rules."
"AP2","Method","Exploring the decades, at least two periods seem to be particularly relevant in terms of change and worth of further investigation: between the 1960s and the 1970s, when the value of STTR shrinks down, quiet unexpectedly, from 43.72 to 41.5, and between the 1970s and the 1980s, when, on the contrary, a rapid growth is evidenced, from 41.5 and 44.3.","3","on the contrary","False","","Signals a contrastive relation between propositions; no self-reference to text or participants.","MESO","Connects two findings across clauses (contrast between adjacent decade spans).","Operates across propositions to organize relations, not within a single predicate.","MD","Organizes the relation between propositions rather than adding content.","INT_ACTIVE","Text-organizing connective guiding interpretation of contrast.","Transition","False","Standard contrastive transition marker.","False","","","","False","","","","","","Interactive MD linking two clause-level findings by explicit contrast; meso reach across propositions."
